,Genero,Tipo,Título,Año de estreno,Mes de estreno,ID
204,Drama,Short,Corey,2000,8.0,tt0298285
205,Drama,Short,Scarlett Mecca and the Pentagram Girl,2000,7.0,tt0298141
206,Drama,Short,Tracker,2000,11.0,tt0299184
207,Drama,Short,Etat,2000,12.0,tt0298853
208,Drama,Short,Célia & Rosita,2000,,tt0298824
209,Drama,Short,The Green Blues,2000,10.0,tt0299949
210,Drama,Short,On Duty,2000,2.0,tt0300296
211,Drama,Short,Night Swimmer,2000,,tt0300266
212,Drama,Short,Donuts for Breakfast,2000,,tt0301213
213,Drama,Short,Heart of Gold,2000,11.0,tt0301389
214,Drama,Short,Following Paula,2000,4.0,tt0301233
215,Drama,Short,Birthday,2000,10.0,tt0301003
216,Drama,Short,Revolution,2000,,tt0301774
217,Drama,Short,Birthday Time,2000,2.0,tt0303769
218,Drama,Short,The Plaids,2000,,tt0305967
219,Drama,Short,Nass,2000,10.0,tt0305879
220,Drama,Short,Ekzekutziya,2000,5.0,tt0306764
221,Drama,Short,Madame Peloponnèse,2000,,tt0308530
222,Drama,Short,Family Album,2000,,tt0308245
223,Drama,Short,The Laughter of God,2000,4.0,tt0308489
224,Drama,Short,The Miser,2000,6.0,tt0309865
225,Drama,Short,The Cleft Between Us,2000,2.0,tt0310899
226,Drama,Short,Emo,2000,6.0,tt0311069
227,Drama,Short,Rain,2000,,tt0310041
228,Drama,Short,Things You Don't Know,2000,4.0,tt0311908
229,Drama,Short,Going Going,2000,,tt0312731
230,Drama,Short,The Dog Has Worms,2000,6.0,tt0312628
231,Drama,Short,Même pas mal,2000,,tt0312993
232,Drama,Short,A Sétima Arte,2000,,tt0314750
233,Drama,Short,Swallows,2000,6.0,tt0313666
234,Drama,Short,Coming Home,2000,10.0,tt0315425
235,Drama,Short,Quem?,2000,8.0,tt0314552
236,Drama,Short,A Grave Debt,2000,,tt0315918
237,Drama,Short,Sargento Garcia,2000,8.0,tt0314612
238,Drama,Short,Kikser,2000,,tt0316109
239,Drama,Short,Merlot,2000,5.0,tt0316239
240,Drama,Short,Dionysus Lost,2000,9.0,tt0317359
241,Drama,Short,Gropen,2000,1.0,tt0317606
242,Drama,Short,Drei Wünsche,2000,6.0,tt0317379
243,Drama,Short,Trixo va a la feria,2000,,tt0318144
244,Drama,Short,Paréntesis,2000,6.0,tt0320246
245,Drama,Short,Mom & Me,2000,,tt0323280
246,Drama,Short,Something Close to Heaven,2000,6.0,tt0324018
247,Drama,Short,Ela na sou po...,2000,,tt0325303
248,Drama,Short,Fatboy and Twintub,2000,6.0,tt0326559
249,Drama,Short,"Monsieur, monsieur",2000,6.0,tt0328149
250,Drama,Short,The Beauty of Darkness,2000,,tt0331878
251,Drama,Short,Moby Dick,2000,5.0,tt0331570
252,Drama,Short,Le grand final,2000,,tt0332634
253,Drama,Short,Anoche soñé que habías muerto,2000,,tt0335891
254,Drama,Short,Alzheimer,2000,,tt0335860
255,Drama,Short,Dos niños solos,2000,,tt0336313
256,Drama,Short,Frasquito,2000,,tt0336459
257,Drama,Short,El chico en la puerta,2000,,tt0336160
258,Drama,Short,"Carol, no te dispares",2000,,tt0336132
259,Drama,Short,Amarantado,2000,,tt0335865
260,Drama,Short,Hauspo soinua,2000,,tt0336549
261,Drama,Short,Anónimo,2000,,tt0335893
262,Drama,Short,El entierro,2000,,tt0336374
263,Drama,Short,Lo que sabía de ella,2000,,tt0336761
264,Drama,Short,Llombai,2000,,tt0336757
265,Drama,Short,Ha llegado el momento de contarte mi secreto,2000,,tt0336537
266,Drama,Short,Luz de inocencia,2000,,tt0336785
267,Drama,Short,Oasis interior,2000,,tt0336941
268,Drama,Short,O río ten mans,2000,,tt0337129
269,Drama,Short,El hombre que camina,2000,,tt0336583
270,Drama,Short,La vía muerta,2000,,tt0337451
271,Drama,Short,Para pegarse un tiro,2000,,tt0336982
272,Drama,Short,Mar de cemento,2000,,tt0336812
273,Drama,Short,Residente,2000,,tt0337091
274,Drama,Short,"Todo iba mal, menos tú",2000,,tt0337316
275,Drama,Short,Vaivén,2000,,tt0337384
276,Drama,Short,Mundo enfermo,2000,,tt0336881
277,Drama,Short,Via Crucis,2000,,tt0337407
278,Drama,Short,Velocidad,2000,,tt0337393
279,Drama,Short,¿Qué hay de postre?,2000,,tt0337521
280,Drama,Short,Ánima,2000,,tt0337523
281,Drama,Short,¿Mal día... cariño?,2000,,tt0337520
282,Drama,Short,Thaw,2000,4.0,tt0338494
283,Drama,Short,Blindman's Bluff,2000,4.0,tt0342134
284,Drama,Short,Stereocubed,2000,4.0,tt0343026
285,Drama,Short,El cazador es un corazón solitario,2000,,tt0343523
286,Drama,Short,The Ride Home,2000,7.0,tt0342938
287,Drama,Short,Bust a Move,2000,5.0,tt0343508
288,Drama,Short,Dating,2000,8.0,tt0343578
289,Drama,Short,Odd Sock,2000,,tt0344136
290,Drama,Short,Louise,2000,,tt0345589
291,Drama,Short,Beso nocturno,2000,,tt0344922
292,Drama,Short,La vie des autres,2000,,tt0346106
293,Drama,Short,That Time,2000,,tt0346004
294,Drama,Short,Try,2000,,tt0348255
295,Drama,Short,"Sweden, Sweden",2000,,tt0348160
296,Drama,Short,The Return of Reason,2000,5.0,tt0347874
297,Drama,Short,Armas tuss 50 aastat hiljem,2000,12.0,tt0350542
298,Drama,Short,On s'embrasse?,2000,,tt0351518
299,Drama,Short,Wild Mouse,2000,,tt0351993
300,Drama,Short,Kill the Day,2000,10.0,tt0351176
301,Drama,Short,Never Land,2000,2.0,tt0352631
302,Drama,Short,The Next Day,2000,,tt0353798
303,Drama,Short,For the Laughs,2000,,tt0353463
304,Drama,Short,Saanjh,2000,8.0,tt0352794
305,Drama,Short,Les pieds dans le sombre,2000,,tt0355887
306,Drama,Short,Man op de maan,2000,6.0,tt0355733
307,Drama,Short,Ulysse au pays des merveilles,2000,4.0,tt0357262
308,Drama,Short,Puppy Love,2000,1.0,tt0357059
309,Drama,Short,Chuut!!!,2000,,tt0357546
310,Drama,Short,Lost,2000,,tt0358572
311,Drama,Short,Havoc,2000,9.0,tt0358507
312,Drama,Short,Bender,2000,,tt0360419
313,Drama,Short,Krav tarneqolim,2000,,tt0359089
314,Drama,Short,Kali tapa karfitsa,2000,,tt0359535
315,Drama,Short,Mivtzah YY,2000,,tt0359704
316,Drama,Short,Black Strawberries,2000,2.0,tt0361397
317,Drama,Short,Chasse gardée,2000,12.0,tt0361435
318,Drama,Short,Une rue dans sa longueur,2000,,tt0361081
319,Drama,Short,The Outlet,2000,,tt0361996
320,Drama,Short,Pearl Harbor: The Survivors' Story,2000,12.0,tt0362960
321,Drama,Short,Secrets Underneath,2000,11.0,tt0362128
322,Drama,Short,Meeting Mr. Sunshine,2000,,tt0363806
323,Drama,Short,Köd,2000,,tt0363753
324,Drama,Short,Tegninger,2000,5.0,tt0364051
325,Drama,Short,Skoteina diastimata,2000,,tt0364009
