,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
58,"4,7",['Findo Purwono'],['Alim Sudio'],"A vengeful spirit follows three body hunters as they search for missing corpses in Jakarta, Indonesia.",1h 26min,Setan Budeg
59,"5,8",['James Sharpe'],"['William Meikle', 'James Sharpe']","Halfway to Heaven A Fantasy Romance With Comedy Halfway To Heaven about a man who is visited by God and told he will be spending time at a ""halfway house"" when dead, until SHE can make up her mind where to put him. While in his suburban limbo he meets others in the same situation of which one could be the ""Girl of his dreams"", they plan to spend eternity together but ... Leer todo",1h 20min,Halfway to Heaven
60,--,['Jake Cooper'],"['Jake Cooper', 'Craig Smith']",,1h 24min,The Key Party
61,"7,2",['Kiff Scholl'],"['Bill Robens', 'Kiff Scholl']","Scream of the Bikini is a 1960s action-spy-thriller by acclaimed South American director, Fernando Fernandez. Jasmine Orosco and Paola Apanapal - in their English language film debuts - are Bridget and Sophia: gorgeous super models by day, brutal bounty hunters by night. Murder, intrigue and pillow fights await our beautiful leading ladies at every turn, as they match... Leer todo",1h 39min,Scream of the Bikini
62,"4,1",['Hamed Kolahdari'],"['Hamed Kolahdari', 'Mehdi Mohamamdnejadian']","The film tells the story of a coffee shop that has regular customers and this coffee shop is run by a young man. With the arrival of a young woman in this cozy and quiet coffee shop, everything undergoes changes. Interesting things happen in this coffee shop ..",--,Hot Chocolate
63,--,['James Dougherty'],['James Dougherty'],"In this funny political comedy, Harry, a small time, down on his luck politician desperately searches for a candidate. He finally finds one in an unusual character, Arnold, a childlike albino janitor.",1h 33min,The Party Beyond Obama
64,"6,2",['Jai Tank'],DESCONOCIDO,A man's life changes after he sustains an injury in a terrorist attack.,2h 1min,Madholal Keep Walking
65,"7,0",['Paulo Biscaia Filho'],DESCONOCIDO,"A comic book artist, a life insurance salesman and a coroner meet in a morgue under a very unusual circumstance.",1h 18min,"Morgue Story: Sangue, Baiacu e Quadrinhos"
66,"5,9",['Irena Pavlásková'],['Tereza Boucková'],"Adolescence is always a difficult time; it is doubly so for Gábina. For one thing, she is growing up in the normalization years of the 1970s, and then she also has to face the reality that her father is a well-known actor disavowed by the regime. Although he abandoned the family years before, his existence casts an ominous shadow over the lives of not only Gábina, but... Leer todo",1h 54min,An Earthy Paradise for the Eyes
67,"6,0",['Ulf Malmros'],['Ulf Malmros'],"When the factory in Molkom shuts down, Robin leaves his beloved hometown to try his luck in Stockholm as a wedding photographer. This experience changes not merely his outlook on life but also his hairstyle.",1h 53min,Bröllopsfotografen
68,"5,8",['V.M. Vinu'],['Samjad Narayanan'],"Viswanathan, an honest village officer, wishes this son, Manu, to become an engineer. However, Manu has no interest in pursuing his studies and aspires to make a name for himself as a singer.",--,Makante Achan
69,"6,4",['Geoffrey Enthoven'],"['Chris Craps', 'Jean-Claude Van Rijckeghem']","Upon the death of her husband, Claire (70) decides to reconnect with her estranged son, down and out R&B musician Sid. She asks him to help her restart the old girl group she used to sing in with two of her friends from the old days. The rebel son is hesitant at first but eventually agrees under one condition: the band has to play HIS music.",1h 33min,Meisjes
70,"3,5",['Abbas Moradian'],DESCONOCIDO,"Karim and Atabak, who live in a neighborhood in the south of Tehran, are forced to steal from the factory and make a living by committing petty thefts and roaming the streets. When the knife reaches their bones and they have no money, a man named Torpedo invites them to steal a car.",--,Dalghakha
71,"6,4",['Emmanuel Mouret'],['Emmanuel Mouret'],Has Jean-Jacques an infallible way to seduce women or is he just fantasizing about it? His girlfriend Ariane wants to sort it out.,1h 30min,Fais-moi plaisir!
72,"6,5",['R.N.R. Manohar'],['Manohar'],"Maasilamani aka Maasi (Nakul) is an orphan living in a lower middle class colony. With a heart of gold, he is a popular guy who takes up local issues, fights for them, and is considered a rowdy by those who do not know him. Enters the heroine Divya (Sunaina), a rich upper middle class girl who is a dance instructor and with whom Maasi falls in love at first sight. How... Leer todo",2h 30min,Maasilamani
73,--,['Brice Myracle'],['Brice Myracle'],A struggling rock band decides the best way to advance their career is to make a film. Unfortunately all they can scrape together is the princely sum of $178.92! Despite this lack of funds they make their film - but will their career go meteoric?,1h 37min,The $178.92 Movie: An Instructional Guide to Failure
74,"5,9",['Jose Javier Reyes'],DESCONOCIDO,"Doris is a 30-year-old virgin who's anxious to get married, afraid of ending up an unmarried woman like her spinster aunt. With Dado, her call center agent boyfriend for years, dropping her like a hot potato and all her girlfriends getting married, Doris is even more pressured to find her Mr. Right pronto! With the help of her best pal, Randy, the search for Doris fut... Leer todo",1h 35min,Status: Single
75,--,['Paul F. Becker'],"['Steve Barraclough', 'P.F. Becker', 'Jason Christie']","The lives of seven ex-pats, now living their lives on the Island of Taiwan, converge when Felix, a Canadian expatriate himself, wants to make a documentary about the crowd he meets at the bars and parties in Far East Taiwan. Unclear of his direction, Felix begins by interviewing the 7 on their views of culture, teaching English and the future. While the ex-pats have t... Leer todo",--,Made in Taiwan
76,"6,4",['Anders Matthesen'],['Anders Matthesen'],A bitter and stressed man ends up in a car crash and gets another chance for life.,1h 20min,Sorte kugler
77,"5,6",['Michael Kupczyk'],"['Georg Piller', 'Tilmann Warnke']",,1h 24min,Diamantenhochzeit
78,"2,8",['Oleg Fomin'],"['Artak Gasparyan', 'Mikhail Gulikov', 'Garik Kharlamov']","Four friends after a long separation are celebrating the birthday, but suddenly one of them was kidnapped and it requires a redemption - one million euros. Friends trying to find the money for the release of their friend.",1h 20min,Samyy luchshiy film 2
79,"6,3",['Tom Begley'],['Rob Hayes'],"When Irishman Barry West loses his belongings on a Bulgarian holiday and wakes up naked in a goat shed, things seem like they couldn't get much worse, until he is recruited by English girl Lisa to help her rescue her sister from the clutches of the Eastern European Mafia.",--,East Meets Barry West
80,"5,6","['Fire Lee', 'Joe Ma']",['Yiu-leung Tong'],,1h 30min,Oi dak hei
81,"3,7",['Rasmus Heide'],"['Thomas Glud', 'Rasmus Heide']",The annual Xmas lunch/party at a Danish auto shop follows tradition. The employees all get drunk and do crazy things.,1h 26min,Julefrokosten
82,"8,9","['Jason Shabatoski', 'Jon Tewksbury']","['Jason Shabatoski', 'David Stefanyshyn', 'Jon Tewksbury']","In a distant nation, even foreign to those within, an oppressed factory worker embarks on a perilous odyssey to find his polka idol and prove himself to his long-lost love.",47min,Shuya Show
83,"6,1",['John E. Bryant'],"['John E. Bryant', 'Jason Foxworth']",A road movie where two brothers search for their biological parents.,1h 32min,The Overbrook Brothers
84,"5,4",['Roland Vranik'],"['András Barta', 'Roland Vranik']","Computers, TVs, cel tels and other telecom devices no longer work and the people are suffering severe withdrawal pains. Three brothers try to overcome their own major personal problems as the society slowly begins to find alternative ways of living.",1h 30min,Adás
85,"4,0",['Mac Alejandre'],DESCONOCIDO,"Long ago, the evil wizard Lizardo (Phillip Salvador) sent an army of monsters to subjugate the land and its people. Lizardo succeeded, but a prophecy tells of a comet that will fall to Earth, and a man who will wield a weapon that will free the people from Lizardo's tyranny. Flavio (Bong Revilla Jr.) is a blacksmith content with living a quiet, uneventful life in a to... Leer todo",1h 50min,Ang panday
86,"5,7",['Marius Vaysberg'],DESCONOCIDO,Three Russian expatriates are loving life and seducing women in New York City until they meet up with Saint Valentine in disguise and he curses them with impotence until they learn about true love. No love - no sex.,1h 24min,Lyubov v bolshom gorode
