,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
46,--,['Irshad'],"['Irshad', 'Suresh Pathissery']","Viswanathan, a loyal home minister, sincerely works for the welfare of the people. However, he faces many challenges when he encounters an evil politician, Natarajan.",1h 59min,Careebeyans
47,"6,2",['Cameron Scott'],['Cameron Scott'],"Lucille is murdered by crime boss Severin and his thugs, goes to hell and returns five years later as a demon/zombie to get her revenge.",1h 39min,"Post Mortem, America 2021"
48,--,DESCONOCIDO,DESCONOCIDO,,--,Doniepuru kobo kessen 1941
49,"7,1",['Shane Black'],DESCONOCIDO,"Cuando el mundo de Tony Stark es destrozado por un temible terrorista llamado el Mandarín, comienza una odisea de reconstrucción y venganza.",2h 10min,Iron Man 3
50,"3,6",['Peng Zhang Li'],"['Ryan Camarda', 'Li Hao', 'Peng Zhang Li']","In modern day New York City a ninety eight year old women lies helpless on her death bed. As her granddaughter begins to take on the chores of cleaning the apartment, she comes upon a story that her grandmother had been writing. It is the story of Blooming Flowers. The account is from her younger days as a journalist of her 1935 trip to a remote village hidden along t... Leer todo",1h 49min,Blooming Flowers
51,"6,7",['Ruben Fleischer'],"['Will Beall', 'Paul Lieberman']","Los Ángeles 1949, la ciudad está dirigida por bandidos y un mafioso malvado, Mickey Cohen. Decidido a acabar con la corrupción, John O'Mara reúne a un equipo de policías, preparados para derribar al despiadado líder y restaurar la paz en la ciudad.",1h 53min,Gangster Squad. Brigada de élite
52,"5,8",['Spike Lee'],['Mark Protosevich'],"Obsesionado con la venganza, un hombre se propone descubrir por qué fue secuestrado y encerrado en una celda de aislamiento durante veinte años sin razón.",1h 44min,Oldboy
53,"6,2",['Carl Rinsch'],DESCONOCIDO,Una banda de samuráis se dispone a vengar la muerte y el deshonor de su maestro a manos de un despiadado shogun.,2h 8min,La leyenda del samurái: 47 Ronin
54,--,DESCONOCIDO,DESCONOCIDO,,--,Real Sociedad vs Manchester United
55,--,DESCONOCIDO,DESCONOCIDO,,--,Manchester United vs Liverpool
56,"3,0",['Dan Bishop'],"['Dan Bishop', 'Shlomo May-Zur']","Fossil Ridge, once believed to be a cattle ranch is discovered to be a breeding ground for vicious prehistoric velociraptors. When the bloodthirsty dinosaurs escape, the townspeople must fight to survive the deadly raptors.",1h 30min,Raptor Ranch
57,"6,3",['Bryan Singer'],DESCONOCIDO,"La antigua guerra entre humanos y una raza de gigantes se reaviva cuando Jack, un joven granjero que lucha por un reino y el amor de una princesa, abre una puerta de entrada entre los dos mundos.",1h 54min,Jack el caza gigantes
58,--,['Jai Akash'],DESCONOCIDO,,--,Mr. Rajesh
59,--,['Ejaz Ahmed'],DESCONOCIDO,,1h 55min,Yeh Metro Zindagi
60,"3,5",['Richard Halpern'],"['Richard Halpern', 'Mike Nguyen Le', 'Ian Truitner']","In this vision of a shocking alternate reality, a group of US soldiers do the unthinkable and kidnap the President of the United States. Will they uncover the truth behind the Iraq War?",1h 21min,W.M.D.
61,"5,3","['Abbas Alibhai Burmawalla', 'Mastan Alibhai Burmawalla']","['Kiran Kotrial', 'Shiraz Ahmed']",Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.,2h 30min,Race 2
62,"7,7",['J.J. Abrams'],DESCONOCIDO,La tripulación de la Enterprise encuentra una imparable fuerza de terror dentro de su propia organización. El capitán Kirk lidera la búsqueda de un arma de destrucción masiva en una zona de guerra.,2h 12min,Star Trek: En la oscuridad
63,"3,5",['Robert Conway'],DESCONOCIDO,"A local gang rob a mafia run strip club, shooting up the place and killing anyone in sight. They head south for the border, but when they enter the town of Redstone and begin terrorizing the locals, they find that crime is a dish best served cold!",1h 21min,Exit to Hell
