,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
88,Behshad Changizi,Desconocido,"['Kheshabe Khali', 'Kalaf', 'Operation 125', 'Emperor of Hell']",['Actor'],Desconocido,--
89,Mohammad Reza Davoudnejad,Desconocido,"['The House of Spider', 'Saghi', 'Kheshabe Khali', 'The Affair']",['Actor'],Desconocido,--
90,Saeid Dolaty,Desconocido,"['Kheshabe Khali', 'Black Intelligence', 'Yavar', 'Pesarhaye Torshide']",['Actor'],Desconocido,--
91,Mehran Emambakhsh,Desconocido,"['Kheshabe Khali', ""Jackal's Nest"", 'Grassland', 'Oxidan']",['Actor'],Desconocido,--
92,Zari Karimi,Desconocido,"['Kheshabe Khali', 'Fireworks', 'Walking on the Rail', 'SMS from Another World']",['Actress'],Desconocido,--
93,Ramsin Kebriti,Desconocido,"['Kheshabe Khali', 'The Tenth Night', 'Swan Song', 'Yearning to Meet']",['Actor'],Desconocido,--
94,Kiumars Malekmotei,Desconocido,"['Train', 'Kheshabe Khali', 'Under the City Sky', 'The Fish Die on the Soil']",['Actor'],Desconocido,--
95,Claudia Wells,1966,"['Back to the Future', 'CBS Schoolbreak Special', 'Back to the Future: The Game - 30th Anniversary Edition', 'Back to the 2015 Future']","['Actress', 'Additional Crew']",1 win & 1 nomination,--
96,Lina Broydo,Desconocido,['Still Waters Burn'],['Actress'],Desconocido,--
97,Ian Davidson,Desconocido,"[""Monty Python's Flying Circus"", ""Queenie's Castle"", 'His and Hers', 'Keep It in the Family']","['Writer', 'Script and Continuity Department', 'Director']",Desconocido,--
98,Jens Hussie,Desconocido,['Still Waters Burn'],['Actor'],Desconocido,--
99,Martin Kachuck,Desconocido,"['Still Waters Burn', 'Top of the Heap']",['Actor'],Desconocido,--
100,Bert Kinyon,Desconocido,"['Copycat', 'The Tripper', 'Dreams Come True', 'Chase']",['Actor'],Desconocido,--
101,Darren McGavin,Desconocido,"['A Christmas Story', 'Billy Madison', 'Raw Deal', 'The Night Stalker']","['Actor', 'Director', 'Producer']",2 wins & 1 nomination total,--
102,Daniel Osuna,Desconocido,['Still Waters Burn'],['Actor'],Desconocido,--
103,Corin Nemec,1971,"['Place of Bones', ""Dead Man's Hand"", 'Supernatural', 'Stargate SG-1']","['Actor', 'Producer', 'Writer']",1 win & 4 nominations total,--
104,Nancy Allen,1950,"['RoboCop', 'Dressed to Kill', 'RoboCop 3', 'RoboCop 2']",['Actress'],1 win & 6 nominations,--
105,Gail Strickland,1945,"['The American President', 'Dark Shadows', ""Who'll Stop the Rain"", 'Star Trek: Deep Space Nine']","['Actress', 'Soundtrack']",Desconocido,--
106,Meredith Salenger,1970,"['The Journey of Natty Gann', 'Dream a Little Dream', 'A Night in the Life of Jimmy Reardon', 'Lake Placid']","['Actress', 'Additional Crew', 'Soundtrack']",1 win & 3 nominations,--
107,Jennifer Blanc-Biehn,1974,"['Dark Angel', 'The Night Visitor', 'Cabaret of the Dead', 'The Divide']","['Actress', 'Producer', 'Director']",1 win & 1 nomination,--
108,Rollin Herold,Desconocido,"['Yo Momma', 'My Apocalypse', 'Family Reunion', 'Ready for the Weekend Movie']","['Producer', 'Actor', 'Writer']",Desconocido,--
109,Aline Annessy,Desconocido,['Beloved Clara'],['Actress'],Desconocido,--
110,Brigitte Annessy,1968,"['Lindenstraße', 'Snowland', 'SK Babies', 'Mount Royal']","['Actress', 'Casting Department']",1 win,--
111,Luc Annessy,Desconocido,['Beloved Clara'],['Actor'],Desconocido,--
112,Marine Annessy,Desconocido,['Beloved Clara'],['Actress'],Desconocido,--
113,Sascha Caparros,Desconocido,['Beloved Clara'],['Actor'],Desconocido,--
114,Michael Court,Desconocido,"['Beloved Clara', 'The Crystal Maze']",['Actor'],Desconocido,--
115,Jason Statham,1967,"['Crank', 'Furious 7', 'Spy', 'The Meg']","['Actor', 'Producer', 'Stunts']",1 win & 8 nominations,--
116,Daniel Mays,1978,"['The Bank Job', 'Rogue One: A Star Wars Story', 'The Adventures of Tintin', 'Mr. Nobody']","['Actor', 'Soundtrack']",1 win & 3 nominations total,--
117,Michael Jibson,1980,"['Bodies', 'The Essex Serpent', '1917', 'Quiz']","['Actor', 'Writer', 'Producer']",Desconocido,--
118,Georgia Taylor,1980,"['The Bank Job', 'Coronation Street', 'The History Boys', 'Casualty']","['Actress', 'Script and Continuity Department', 'Soundtrack']",1 win & 2 nominations,--
119,Richard Lintern,1962,"['The Bank Job', ""Cassandra's Dream"", 'Syriana', 'Jinnah']",['Actor'],Desconocido,--
120,Peter Bowles,Desconocido,"['The Bank Job', 'Blow-Up', 'To the Manor Born', 'The Irish R.M.']","['Actor', 'Writer', 'Producer']",1 nomination,--
121,Paul Kalkbrenner,1977,"['Berlin Calling', 'The Kids Turned Out Fine', 'Florian', 'Michel Cleis: La Mezcla (Paul Kalkbrenner Remix)']","['Music Artist', 'Composer', 'Actor']",Desconocido,--
122,Rita Lengyel,1973,"['Gabriel', 'Berlin Calling', 'Mein Ungarn in Berlin', 'Tatort']","['Actress', 'Director', 'Writer']",1 nomination,--
123,Araba Walton,1975,"['Asudem', 'Berlin Calling', 'A2Z', 'Simon']",['Actress'],Desconocido,--
124,Peter Schneider,1975,"['The Baader Meinhof Complex', 'Dark', 'Hut in the Woods', 'Line of Separation']",['Actor'],2 nominations,--
125,Rolf Peter Kahl,1970,"['Ecstasy', 'Mädchen am Sonntag', 'Als Susan Sontag im Publikum saß', 'Angel Express']","['Actor', 'Producer', 'Director']",2 wins & 12 nominations,--
126,Henriette Müller,1980,"['Berlin Calling', 'Die Muse', 'Lila, Lila', 'Chaostage']",['Actress'],Desconocido,--
127,Megan Gay,1967,"['Hannah Arendt', 'Berlin Calling', 'One Day in Europe', 'Æon Flux']",['Actress'],Desconocido,--
128,Barry Primus,1938,"['Grudge Match', 'Righteous Kill', '15 Minutes', 'On Golden Pond']","['Actor', 'Director', 'Writer']",Desconocido,--
129,Steve Guttenberg,1958,"['Short Circuit', 'Three Men and a Baby', 'Police Academy', 'Three Men and a Little Lady']","['Actor', 'Producer', 'Director']",3 wins & 2 nominations,--
130,Gene Arkle,Desconocido,['Jackson'],['Actor'],Desconocido,--
131,Tara Bellando,Desconocido,"['100 Proof', 'Paper Cut', 'Union Furnace', 'Jackson']","['Actress', 'Sound Department']",Desconocido,--
132,Juliette Blasor,Desconocido,"['The Little Rascals', 'A Christmas Carol', ""Learning to Live: Children's Stories"", 'Jackson']","['Art Department', 'Writer', 'Music Department']",Desconocido,--
133,Aleta Braxton,Desconocido,"['Emily or Oscar', 'I Am Legend', 'Dawn of the Planet of the Apes', 'Godzilla']","['Music Department', 'Actress', 'Producer']",5 wins,--
134,Terrence Mann,1951,"['Critters', 'Critters 4', 'Sense8', 'Critters 2: The Main Course']","['Actor', 'Soundtrack']",1 nomination,--
135,Steven Earl-Edwards,Desconocido,"['A Circle on the Cross', 'Lunch in America']","['Actor', 'Director', 'Writer']",Desconocido,--
136,Ryan McWhorter,Desconocido,"['A Circle on the Cross', 'Holden On']",['Actor'],Desconocido,--
137,Liza Vann,Desconocido,"['A Circle on the Cross', 'The Radicals', 'The Top of the Bottom Half']","['Producer', 'Actress', 'Writer']",Desconocido,--
138,Matthew Lewis,Desconocido,['A Circle on the Cross'],['Actor'],Desconocido,--
139,Pete Rayfield,Desconocido,['A Circle on the Cross'],['Actor'],Desconocido,--
140,Bruce Payne,22,"['Passenger 57', 'Highlander: Endgame', 'Absolute Beginners', 'Creators: The Past']","['Actor', 'Producer', 'Writer']",1 nomination,--
141,Lisa Banes,Desconocido,"['Gone Girl', 'A Cure for Wellness', 'Cocktail', 'Young Guns']",['Actress'],3 nominations,--
142,Whip Hubley,1957,"['Top Gun', 'Executive Decision', 'Species', 'A Cinderella Story']","['Actor', 'Art Department']",Desconocido,--
143,Reiley McClendon,1990,"['Pearl Harbor', 'Time Trap', 'The Kid', 'Sky Kids']","['Actor', 'Director', 'Cinematographer']",1 nomination,--
144,Stephen Baldwin,1966,"['The Usual Suspects', 'Bio-Dome', 'The Flintstones in Viva Rock Vegas', 'Fred Claus']","['Actor', 'Producer', 'Director']",4 wins & 5 nominations,--
145,Dallen Gettling,Desconocido,"['Sky Kids', 'Only Once', ""Friendship's Field"", 'Divided by Hate']",['Actor'],Desconocido,--
146,Jennifer Slimko,1974,"['Yesterday Was a Lie', 'Trim', 'Angel', 'Buffy the Vampire Slayer']",['Actress'],Desconocido,--
147,Rory Culkin,1989,"['Signs', 'Mean Creek', 'You Can Count on Me', 'Scream 4']","['Actor', 'Producer']",4 wins & 12 nominations,--
148,Logan Huffman,1989,"['Final Girl', 'V', 'Lymelife', 'Monster Party']","['Actor', 'Writer', 'Producer']",Desconocido,--
