,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
38,"6,2",['Tim Burton'],DESCONOCIDO,"Barnabas Collins, un vampiro cautivo que es puesto en libertad, vuelve a su hogar ancestral donde sus disfuncionales descendientes requieren su protección.",1h 53min,Sombras tenebrosas
39,"4,2",['Steven Kampmann'],"['Steven Kampmann', 'Matt Smollon']","A struggling writer, Ray Wyatt, acquires fame in an unusual way when a notorious serial murderer, named the Karaoke Killer, steals his car and the newest draft of his script.",1h 34min,BuzzKill
40,"6,2",['Steve Marshall'],"['Keith Black', 'Mark Troy']","This was produced to show, in concept, the style and tone of a full feature movie and aiming to showcase the comedy aspects of the final production.",--,Driving Me Crazy: Proof of Concept
41,--,['Vitaliy Shepelev'],"['Aleksandr Kopylov', 'Natalya Romashova']","This touching film tells about the unusual day of one provincial family. A father decides to give his 9-year-old son a gift - to show him around Moscow. At the same time, this is a holiday for his father, to whom Moscow seems to be a romantic and unattainable dream, a city where everything is, by definition, correct, thoughtful and beautiful. However, as is typical fo... Leer todo",1h 37min,"Zdraste, priekhali!"
42,--,['Uros Raztresen'],"['Miomir Cikic', 'Uros Raztresen']",Farmer Pajo is facing new problems.,1h 30min,Prigode kmeta Pajota 2
43,--,['Imdad Husain Usmani'],DESCONOCIDO,,--,Sej Taiyar Sajaniya Farar
44,"6,6",['J.J. Harting'],"['J.J. Harting', 'Kurt Vonnegut Jr.']",,1h 55min,A Man Without a Country
45,"8,2",['Jilani Saâdi'],['Jilani Saâdi'],"ONS refuses to attend her own wedding with HALIM, her husband to be, experiences this as a great injustice and shame. He locks himself in his house a few days then decides to abandon his social life to join a group of marginalized. Punished and locked up by her parents, they managed to escape to roam the city. HALIM and ONS find themselves in this life of wandering. W... Leer todo",1h 30min,Winou Baba?
46,"8,5",['Ibrahim Letaïef'],['Ibrahim Letaïef'],"Desperate by the refusal of the film commission, Chahine wonders how he will do to find the money necessary to achieve the police comedy he has in mind. He then has the crazy idea to go find him where he is: in the trunk of a bank. Aided by his two accomplices (his producer and his cinematographer), he scripted and directed the burglary, The accomplished heist, the th... Leer todo",1h 50min,Cinecitta
47,"3,9",['Mohsen Damadi'],['Mohsen Damadi'],,--,Ghabrestane Gheyre Entefaei
