,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
54,6.7,['Mercedes Laborde'],DESCONOCIDO,"Flavia, a young woman, needs to forget her dead husband. During her search for a new life, nine-year-old Lucía appears. A child who wants to remember her father.",1h 24m,El Año del Leon
55,5.6,['Wyne'],"['Ponnya Khin', 'Wyne']","Thatoe Theik is a documentary-maker working on a film about the illegal Myanmar prostitution industry. He meets Shwe Kyar, his childhood friend - but each are so changed, at first neither realize this. Thatoe's main purpose is to raise awareness of the health risks and social stigma of sex workers. His aim is for the Government to register workers and protect prostitu... Read all",2h 11m,Shwe Kyar
56,6.7,['Ivan Tai-Apin'],DESCONOCIDO,"When nine-year-old Wiren meets the American Dr. Young a world of opportunities opens up for the small deaf boy. Driven by his ambition to get ahead in life he leaves his life in rural Nickerie behind and winds up at the Kennedy boarding school in the capital Paramaribo. He struggles to comply to the strict, conservative Catholic methods at the school, but turns out to... Read all",1h 45m,Wiren
57,--,['Santhosh Mandoor'],DESCONOCIDO,"Mercilessly killing aged parents by the children in a heinous, age old custom called 'Thalaikuthal', is being practiced secretly even now in some villages of Tamil Nadu, India. 'PANI' showcases some practices of this custom in the name of mercy killing for property and money.",1h 42m,Fever...
58,--,['Arup Manna'],DESCONOCIDO,,--,Aamrityu
59,6.5,['Mani Nouri'],DESCONOCIDO,"Nothing behind, no where to go and stuck in a house with unknown people... This is a story of middle eastern immigrants on their way to Europe. Three generations of women, three different life-styles and philosophy in a home that doesnt really belong to any of them. The house, more than anything else, symbolizes the current situation in Iran, feeling trapped and surou... Read all",1h 26m,Feminin
60,6.5,['Mani Nouri'],DESCONOCIDO,"This is an independent film made in Iran, due to its subject it is banned from theaters in its country of origin. This long feature is created in black and white, it is POV of the main character of the movie, through his eyes (camera) we come to understand the pain he is suffering and also the changes in Iranian modern society.",1h 26m,Abbas Abbas Bacheha Gheychi Shodan
61,6.4,['Ekaterina Dvigubskaya'],DESCONOCIDO,"This is the story of a big city, great ambitions, faith, strength, struggle and adherence to principles.",1h 27m,Opasnye tantsy
62,5.2,['Naho Kamimura'],DESCONOCIDO,"Hinano is a bullied and lonely school girl who has no other means to express her feelings but write them down. When one day she hurries in the school nurse's room to escape, she meets a teacher who is about to change her life.",1h 17m,Wander Life
63,5.4,['Ingvar Kenne'],"['Steve Rodgers', 'Cameron Stewart']","Jeremy and Neets have a happy marriage and successful careers, but their lives are turned upside down when Simon returns and wants to confess to a rape they committed at university 20 years prior.",1h 33m,The Land
64,--,['Ke Cheng'],DESCONOCIDO,,--,Dr. Huang Danian
65,--,['Ping Wang'],"['Zhe Dong', 'Ping Wang']",,--,The Compact Density of Stone
66,--,['Rahim Moledina'],DESCONOCIDO,,1h 20m,One Without the Other
67,--,['Eden Limchawalit-Smith'],DESCONOCIDO,This film follows a Jewish couple who are kidnapped and tortured by a British Free Corps soldier in 1946.,1h 3m,Aggrieved
68,7.2,DESCONOCIDO,"['Davide Alfonsi', 'Denis Malagnino']",,--,Il codice del babbuino
69,6.4,['Óscar González'],DESCONOCIDO,,1h 30m,Mujeres infieles 5
70,8.6,['Low Ngai Yuen'],DESCONOCIDO,"A prejudiced man chases away a homeless woman sleeping behind his restaurant. To his shock, his wife then brings her home to live with them.",1h 55m,The Outsider
71,--,['Julius Damenz'],DESCONOCIDO,"After an accident in the ring, a fighter wants to stop and report the criminal activities, but nobody will listen.",--,Scrapper
72,5.8,['Milan Chams'],DESCONOCIDO,"A guy is desperate to go to London to settle his life, and when he finally gets there, he starts to fall in love with a girl.",--,Happy Days
73,--,['Esteban Insausti'],DESCONOCIDO,"the film is narratively constructed in three acts vertebrate by the memories of a club of jazz that will be demolished shortly. The first story (Alto Saxo), is starring a poor and prodigious child, who has enough talent to win the most important contest of solos in the town at the end of the 50s. The second (Contrabass with bow) recounts the experiences of a virtuoso ... Read all",1h 50m,Jazz Club
74,--,['Akifumi Tomizawa'],DESCONOCIDO,Teppeki Tamotsu is a university student who has won back-to-back national titles in amateur mahjong and is expected to turn pro.,1h 41m,No maku bakuhai to
75,5.0,['Nabi Gholizadeh'],"['Nabi Gholizadeh', 'Mohammadreza Yarikia']",Ako is a teenagers who has come to Tehran to work at the bazaar. But when a precious cargo which is give to him to carry is stolen he faces many new challenges and difficulties.,1h 22m,Ako
76,5.3,['Kenan Zeynalov'],DESCONOCIDO,"Nuray lost Farid two months ago. She makes her mind to write a new love story. So, she wants to use Firuza's diary. Firuza was mysteriously murdered 34 years ago. When reading the diary Nuray finds out that one sheet of the diary is missing.",1h 15m,Qaranliq
77,9.0,DESCONOCIDO,DESCONOCIDO,"It is a Story of three Mischievous Pranky Frands, Who love to call girls and irritate them over the phone but one call made by them becomes a nightmare for their life and changes their life forever during this comedy journey.",2h 28m,Befaam
78,6.2,DESCONOCIDO,DESCONOCIDO,,1h 39m,Half the Sky
79,7.5,['Dashrath Mali'],DESCONOCIDO,"Dhaakad is a new Gujarati Movie and it is about a girl's importance in a Gujarati Family. Dhaakad is a story about a young single girl who lives her life to the fullest and is willing to stand up against her Family for the Truth. Dhaakad is a very emotional Gujarati family movie. Dhaakad's story will inspire the youth, especially young girls and encourage a family to ... Read all",2h 20m,Dhaakad
