,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
613,5.8,['Zackary Adler'],DESCONOCIDO,"Notorious gangster, Pat Tate, rises through the ranks of Essex's criminal underworld. A prequel to the 'Rise of the Footsoldier' franchise.",1h 39m,Rise of the Footsoldier 3
614,5.4,['Dass Ramasamy'],"['Dass Ramasamy', 'Gautam Siddharth']",A father and a daughter purchase a used car which is possessed by an unknown dangerous spirit craving for revenge.,2h 19m,Dora
615,8.1,['Tigmanshu Dhulia'],"['Tigmanshu Dhulia', 'Pramod Singh']",A period film based on the historic 1945 Indian National Army Red Fort Trials.,2h 15m,Raag Desh
616,5.5,['Jakob Lass'],DESCONOCIDO,"TIGER gets what she wants. VANILLA does not know what she wants. Apart from one important thing: a uniform. TIGER teach her to bite, and VANILLA tastes blood. So TIGER needs to learn a new rule: They sow the wind and reap the whirlwind.",1h 30m,Tiger Girl
617,5.1,['Matthew Kohler'],"['Ian Blaylock', 'Matthew Kohler']","After three years of being away from Gotham, Batman must return to face the evolution of fear.",--,Batman: Master of Fear
618,6.4,['Gordon Chan'],DESCONOCIDO,A maverick commander and a young general join forces to battle pirates who pillage small villages in 16th-century China. The violent clash of wits and weapons will ultimately decide who rules the land.,2h 8m,God of War
619,5.6,['Bing Xu'],DESCONOCIDO,"Two strangers' worlds collide after a Beijing traffic accident results in the husband of Yu Miao shooting and killing the girlfriend of young, penniless Xu Tian.",1h 46m,Strangers
620,5.6,['Kazuyoshi Kumakiri'],"['Shû Fujisawa', 'Ryô Takada']","Kengo Yatabe's mother dies and his father is in a coma. He, like his father, was good at kendo. Those days are long gone and he now lofts around as a security guard and generally wastes time. Meeting the young Tooru Kengo is inspired and decides to shape up.",2h 5m,Mukoku
621,--,['Svyatoslav Podgaevskiy'],DESCONOCIDO,,--,New World
622,--,['Hadi Zaarour'],DESCONOCIDO,"When the United States of America is faced with a nuclear threat in Manhattan, a group of Elite Special Intelligence Force is summoned to stop the nukes from detonating. But faced with an enemy from within, the mission starts to look even more impossible than it is. While two long time friends become foes, each fighting for freedom but differently. The enemies from wi... Read all",--,Acts of Resistance: Command's Downfall
623,4.5,['Ryûichi Inomata'],DESCONOCIDO,,--,Last Cop: The Movie
624,5.8,['Takashi Miike'],"['Hirohiko Araki', 'Itaru Era']","A teen gifted with supernatural power discovers the truth behind his cursed and bizarre bloodline, and the evil that lurks within his town.",1h 59m,JoJo's Bizarre Adventure: Diamond Is Unbreakable - Chapter 1
625,7.4,['Phillip Baribeau'],DESCONOCIDO,"Charged with 2400 volts of electricity, Eduardo Garcia lost an arm, ribs, muscle mass and nearly his life, but more important than what he lost is what he found.",1h 26m,Charged: The Eduardo Garcia Story
626,--,['Joe Robertson'],"['Gregory A. Napier', 'Joe Robertson']",,--,Afflicted Dawn: Redemption
627,--,['Curtis Carrington'],DESCONOCIDO,,--,A Samaritan Story
628,--,DESCONOCIDO,"['Jerry Burkhead', 'Madam Della']","Cousin Cookie and his demented relatives are all secure at their new Haunted Attraction, or are they, will the killing start again?",--,Under the Mill 2: Klownly Reunion
629,4.3,['Dewey Allen'],DESCONOCIDO,Inspiring model Keisha (Just Brittany) gets caught up in a drug war for power between trappers Money (Mando Allen) and Cocaine Redd (Mystikal) while blood flows down the old Mississippi River.,1h 35m,Mississippi Turntup
630,3.4,['Sabbir Khan'],DESCONOCIDO,"A young man, tries to follow the footsteps of his idol, The King of Pop, Michael Jackson.",2h 20m,Munna Michael
631,5.3,['Chandra Mohan Chintada'],DESCONOCIDO,A romantic drama starring Sharwanand and Lavanya Tripathi.,2h 6m,Radha
632,5.5,['Ryûhei Kitamura'],"['Ryûhei Kitamura', ""Joey O'Bryan""]","Stranded at the side of the road after a tire blowout, a group of friends become targets for an enigmatic sniper.",1h 30m,Downrange
