,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
102,Chad Bianco,Desconocido,"[""By the Devil's Watch 2"", 'Cicada', 'Two Year Man', 'Diwa']","['Reparto', 'Producción', 'Especialistas']",Desconocido,--
103,James Craigmyle,Desconocido,"['Pray They Stand Down', 'The Ghost Catcher', 'Live PD: Police Patrol', 'Live PD']",['Reparto'],Desconocido,--
104,Tuna The Dog,Desconocido,"['Pray They Stand Down', 'I Woof You']",['Reparto'],Desconocido,--
105,Chloe The Dog,Desconocido,['Pray They Stand Down'],['Reparto'],Desconocido,--
106,Sarah Robertson,Desconocido,['Pray They Stand Down'],['Reparto'],Desconocido,--
107,Jake Gardner,Desconocido,"['Pray They Stand Down', 'The Entertainment']",['Reparto'],Desconocido,--
108,Tristin Ray,Desconocido,"['Witness', 'Charleigh', 'While the World Slept', 'Rayzed on Bluegrass']","['Dirección', 'Edición', 'Reparto']",Desconocido,--
109,Dirk D. Myers,Desconocido,"['Pray They Stand Down', 'Perfect Company']","['Reparto', 'Publicista']",Desconocido,--
110,Chauntice Green,1991,"['9-1-1: Lone Star', 'The Partitioned', 'My First Horror Film', 'Teenage Badass']","['Reparto', 'Dirección', 'Dirección de la segunda unidad o asistencia a dirección']",Desconocido,--
111,Numa Perrier,diciembre,"['La combinación perfecta', 'Fuera de prisión', 'First Time Female Director', 'Jezebel']","['Dirección', 'Reparto', 'Producción']",5 premios y 8 nominaciones,--
112,Peter Vack,septiembre,"['Bully', 'Assholes', 'Send', 'CBGB']","['Reparto', 'Guion', 'Dirección']",5 premios y 3 nominaciones,--
113,Paris Stephens,Desconocido,"[""Sunday's Child""]",['Reparto'],Desconocido,--
114,Joy Richardson,Desconocido,"['Hijos de los hombres', ""DC's Legends of Tomorrow"", 'El viaje de Harold', 'Testigo mudo']",['Reparto'],Desconocido,--
115,Josey Auguste,Desconocido,"[""What's My Name Again?"", 'After the Reign', 'Ty Dolla $ign & Mustard Feat. Lil Durk: My Friends', ""Sunday's Child""]",['Reparto'],Desconocido,--
116,Liz D'Alessio,Desconocido,"[""Don't Mind: Cruxmont"", 'Ships in the Night', 'The Winner']","['Reparto', 'Equipos adicionales', 'Edición']",Desconocido,--
117,Mario Orazio Ruvio,Desconocido,"['Untitled Project', 'Skit Row', 'Twin Flowers', 'Sins in the synth']","['Reparto', 'Dirección', 'Producción']",2 premios,--
118,Emanuel Alexander,1994,"['Murder Decoded', 'Fatal Attraction', 'A Great Expanse', 'Fuego abierto']",['Reparto'],1 premio y 1 nominación,--
119,Tammy J. Anderson,Desconocido,"['Murder Decoded', 'Somewhere Between', 'A Great Expanse', 'Letters']",['Reparto'],Desconocido,--
120,Aerilyn Armstrong,Desconocido,['A Great Expanse'],['Reparto'],Desconocido,--
121,Amber Colo,Desconocido,['A Great Expanse'],['Reparto'],Desconocido,--
122,Jackson Colo,Desconocido,"['Lock-In', 'Seasons Screenings', 'A Great Expanse']",['Reparto'],Desconocido,--
123,Annette Easter,Desconocido,['A Great Expanse'],['Reparto'],Desconocido,--
124,Karen Johnson,Desconocido,['A Great Expanse'],['Reparto'],Desconocido,--
125,Cat Lellie,Desconocido,"['Move Me No Mountain', 'The Desiring', 'The Evening Hour']","['Reparto', 'Guion', 'Producción']",1 premio y 1 nominación,--
126,Jane Hardin Marsh,Desconocido,"['El paraíso perdido', ""The Gravy Farmer's Curse"", 'A Great Expanse']",['Reparto'],Desconocido,--
127,Paul Edme,Desconocido,"['Bad Teachers', 'Agárralos como puedas', 'Vamperifica', 'Redrum']","['Reparto', 'Equipos adicionales']",Desconocido,--
128,Amber Jaunai,Desconocido,"['Ley y orden: Unidad de Víctimas Especiales', 'Querido Evan Hansen', 'New Amsterdam', 'Amend']",['Reparto'],Desconocido,--
129,Corinne McFarlane,Desconocido,"['The Lucky Ones', 'Good Egg', 'Rescue Me: Equipo de rescate', 'Happy Birthday, Corey']",['Reparto'],Desconocido,--
130,Malik Uhuru,Desconocido,"['Catch 22: Based on the Unwritten Story by Seanie Sugrue', 'Build-a-Baby', 'Happy Birthday, Corey', 'Wade']",['Reparto'],Desconocido,--
131,Mirlande Amazan,Desconocido,"['Life...', 'The Green Couch', 'Bang Bang', ""What Doesn't Float""]","['Reparto', 'Guion', 'Dirección']",37 premios y 17 nominaciones,--
132,Stacy Ann Rose,Desconocido,"['Ballers', 'Life...', 'Outer Banks', 'Hightown']","['Reparto', 'Producción', 'Dirección']",11 premios y 5 nominaciones,--
133,Barry Newell,Desconocido,"['Life...', 'S.W.A.T.: Los hombres de Harrelson', 'Ley y orden: Unidad de Víctimas Especiales', 'Truth Be Told']",['Reparto'],5 premios y 1 nominación,--
134,Coventry Halcyon,Desconocido,['Life...'],['Reparto'],6 premios y 1 nominación,--
135,Hayes Beyersdorfer,Desconocido,"['Hacks', 'Regionrat', 'The Lipinski']","['Reparto', 'Guion', 'Producción']",6 premios y 2 nominaciones,--
136,Ashna Sharan,Desconocido,"['Nuestra bandera significa muerte', 'Twenties', 'A Stone Cold Christmas', 'That Quarantine Life']","['Reparto', 'Guion']",40 premios y 30 nominaciones,--
137,Poorva Wachh,Desconocido,"['The Big Rant', 'Peppermint', 'Cross Words Together', 'The Mocking Idol']","['Reparto', 'Producción', 'Guion']",11 premios y 9 nominaciones,--
138,Dein-Rene Amazan,Desconocido,"['Life...', 'The Green Couch', ""The Immigrant's Daughter"", 'Sessions']","['Composición', 'Sonido', 'Reparto']",6 premios y 3 nominaciones,--
139,Shawn Lockie,Desconocido,"['Life...', 'Tides', 'Dim Sum', 'The Dark Tapes']","['Reparto', 'Composición']",6 premios y 1 nominación,--
140,Darlene Aniebonam,Desconocido,"['Life...', 'Foresight', 'Poster Child', 'Cocoa']","['Reparto', 'Música']",5 premios y 1 nominación,--
141,Mary Mina,Desconocido,"['A Summer Place', 'I anazitisi tis Lora Dourand', 'Apostratos', 'Aggeliki']",['Reparto'],1 premio,--
142,Aurora Marion,1985,"['Noces', 'La folie Almayer', 'Doctor Who', 'The Hunted']","['Reparto', 'Banda sonora']",1 premio y 1 nominación,--
143,Natalija Janichkina,Desconocido,"['Tu mano deimantas', '12 kedziu', 'Moscow Noir', 'Tasty']",['Reparto'],Desconocido,--
144,Giannis Kokkinos,Desconocido,"['Smuggling Hendrix', 'Trikymia', 'Boomerang', 'Au Revoir, Slumdogz!']","['Reparto', 'Guion', 'Producción']",Desconocido,--
145,Mohammed Awwad,Desconocido,"['Au Revoir, Slumdogz!', 'Smuggling Hendrix', 'Red Nose', 'Transit']",['Reparto'],Desconocido,--
146,Marios Ioannou,Desconocido,"[""Fish n' Chips"", 'Ftina tsigara', 'Mystikes diadromes', '10i entoli']",['Reparto'],1 premio,--
147,Thekla Flouri,Desconocido,"['To teras', 'Famagusta', 'Blackbird: Kiss', 'A Summer Place']",['Reparto'],Desconocido,--
148,Giorgos Kyriacou,Desconocido,"['To teras', ""Ciderella's Story"", 'Rozmari', 'Pente selinia naylon']","['Reparto', 'Dirección', 'Guion']",Desconocido,--
149,Lori Alan,1966,"['Del revés (Inside Out)', 'Bob Esponja', 'Family Guy Video Game!', 'Larry David (Curb Your Enthusiasm)']","['Reparto', 'Guion', 'Producción']",5 premios y 4 nominaciones,--
150,Marty York,1980,"['The Sandlot: Historia de un verano', 'Yo y el mundo', 'Due Justice', 'Salto al infinito']",['Reparto'],1 premio,--
151,Ron Bregenzer,Desconocido,"['Angels Fallen: Warriors of Peace', 'Better Than A Shovel', 'Homeless: Sam & Sally - The Movie', 'John']",['Reparto'],Desconocido,--
152,Dianne Scott,Desconocido,"['Neighborhood Watch', 'Cara a cara', 'Bounty Hunters 2', 'Super Bois']","['Reparto', 'Producción', 'Dirección']",Desconocido,--
153,Kaylin Zeren,Desconocido,"['Symbiant', 'Global Gains', 'Project Elementals', 'The Haunting of La Llorona']","['Reparto', 'Guion']",Desconocido,--
154,Jon Mancinetti,Desconocido,"['Super Bois', ""Life's Work"", 'Space Dust', 'Loss and Found']","['Dirección', 'Guion', 'Edición']",2 premios,--
155,Elliott Mayer,Desconocido,"['The Haves and the Have Nots', 'Ley y orden', 'False Flag', 'Play or Be Played']",['Reparto'],Desconocido,--
156,John Kerwin,Desconocido,"['The Pick Up Artist', 'Space Dust', 'Upon Waking', 'Reel Hard']","['Reparto', 'Producción', 'Casting']",Desconocido,--
157,Smaran Harihar,Desconocido,"['Abduction: The Harvesting', 'Super Bois', 'Alter-native Facts']",['Reparto'],Desconocido,--
158,Francis Adams,Desconocido,"['Parallel Lines', ""Amelia's Letter"", 'Champagne, Intimacy, Alan', 'Get Gone']",['Reparto'],Desconocido,--
159,Jo Barker,Desconocido,"['Shockwaves', 'The Hanged', 'The Legend of Jack and Jill', 'Psychedelic Involvement']",['Reparto'],Desconocido,--
160,Ellie Daley,Desconocido,"['Growing Pains', 'Jamie Johnson']",['Reparto'],Desconocido,--
161,Mark Devenport,Desconocido,"['Weekend', 'Bronson', 'Eden Lake', 'Gary the Rapper vs Stefan Blix']","['Reparto', 'Dirección', 'Guion']",Desconocido,--
162,Shelley Draper,Desconocido,"['The End', 'Epoch', 'The Grand', 'The Colour Room']",['Reparto'],1 premio,--
163,Kyra Fowler,Desconocido,['Growing Pains'],['Reparto'],Desconocido,--
164,Rebecca Holmes,Desconocido,[],[],Desconocido,--
165,Holly Lucas,Desconocido,"['Bronson', 'Where the Heart Is', 'Holby City', 'Little Deaths']","['Reparto', 'Banda sonora']",Desconocido,--
166,Joel Morris,Desconocido,"['La pareja de al lado', 'Sherwood', 'Des', 'Gentleman Jack']",['Reparto'],Desconocido,--
167,Garry Robson,Desconocido,"['The Unlimited House of Krip', 'Testigo mudo', 'Casualty', 'Pitching In']","['Reparto', 'Dirección']",Desconocido,--
168,Matthew Barnes,Desconocido,"['Tiempo de victoria: La dinastía de Los Lakers', 'Atlanta', 'Little Fires Everywhere', 'El club de las abejas reina']","['Reparto', 'Guion', 'Producción']",Desconocido,--
169,Alan McRae,Desconocido,"['Tres pequeños Ninjas', 'El asesino de la isla', '3 ninjas en el parque de atracciones', 'Dallas']","['Reparto', 'Casting']",Desconocido,--
170,Allye Spencer,Desconocido,"['Sidework', 'Deal', 'The Jungle', 'Bring Me a Dream']","['Reparto', 'Dirección', 'Producción']",Desconocido,--
171,Jeremy Theobald,Desconocido,"['Following', 'Tenet', 'Convergence', 'Batman Begins']","['Reparto', 'Producción']",5 premios y 3 nominaciones,--
172,Emma Findlay,Desconocido,"['Land of Thieves', 'Ribbons: Weapons Test Trumpet', 'Red Rose', 'I am God']","['Reparto', 'Guion']",Desconocido,--
173,Freya Kingsley,Desconocido,"['An Endless Summer', 'A Cold Grave', 'The Missing: Baptiste', 'Running Memory']","['Reparto', 'Producción', 'Guion']",6 premios,--
174,Niamh Murdoch,Desconocido,"['Longtails', 'The Lost Wife', 'Brothers of Italy', 'Losing Grace']","['Reparto', 'Cámara y electricidad', 'Sonido']",Desconocido,--
175,Jordan Perry,Desconocido,"['Mera', 'The Auteur', 'In·spi·ra·tion', 'The Lost Wife']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Cámara y electricidad']",Desconocido,--
176,Jenny Quirk,Desconocido,['The Lost Wife'],['Reparto'],Desconocido,--
177,Alex Campbell Stein,Desconocido,"['Bipolar Becky', 'Searching for Salai', 'Minor Leaguer', 'Saving Paradise']","['Reparto', 'Sonido', 'Dirección']",Desconocido,--
178,Blaize Hall,Desconocido,"['Empty Space', 'A More Perfect Union', 'Daycare', 'Designer Babies']","['Reparto', 'Producción', 'Guion']",1 premio,--
