,Tipo,Título,Año de estreno,Mes de estreno,ID
317,Short,Chasse gardée,2000,12.0,tt0361435
318,Short,Une rue dans sa longueur,2000,,tt0361081
319,Short,The Outlet,2000,,tt0361996
320,Short,Pearl Harbor: The Survivors' Story,2000,12.0,tt0362960
321,Short,Secrets Underneath,2000,11.0,tt0362128
322,Short,Meeting Mr. Sunshine,2000,,tt0363806
323,Short,Köd,2000,,tt0363753
324,Short,Tegninger,2000,5.0,tt0364051
325,Short,Skoteina diastimata,2000,,tt0364009
326,Short,2 on U,2000,8.0,tt0364911
327,Short,Ramon,2000,10.0,tt0368195
328,Short,Nail in My Coffin,2000,3.0,tt0368057
329,Short,Il mio umore,2000,5.0,tt0368032
330,Short,A Fisherman's Lament,2000,,tt0367738
331,Short,Sans sommeil,2000,12.0,tt0368240
332,Short,Saman auringon alla,2000,11.0,tt0368238
333,Short,Journey Through the Night,2000,,tt0366646
334,Short,Survival of the Fittest,2000,,tt0368316
335,Short,¿Qué hacemos con Pablito?,2000,,tt0367265
336,Short,When I Was Seven,2000,3.0,tt0367225
337,Short,2 1/2 Minutes of Pleasure,2000,12.0,tt0367455
338,Short,Gauze,2000,11.0,tt0367771
339,Short,Jasmine & Daffodil,2000,,tt0370804
340,Short,Running Away,2000,4.0,tt0371147
341,Short,Turbans,2000,4.0,tt0370024
342,Short,Soleil glacé,2000,,tt0369949
343,Short,"Un veau pleurait, la nuit",2000,,tt0370037
344,Short,12 Rounds,2000,6.0,tt0372108
345,Short,Ernesto,2000,,tt0372895
346,Short,Marietta,2000,12.0,tt0374026
347,Short,La crónica,2000,,tt0376549
348,Short,Skymaskinen,2000,,tt0376191
349,Short,Luka,2000,8.0,tt0378274
350,Short,Mortality,2000,7.0,tt0378383
351,Short,Gilmour,2000,5.0,tt0380388
352,Short,La noche con Orgalia,2000,,tt0382875
353,Short,Delivered,2000,8.0,tt0384912
354,Short,Crashing by Design,2000,9.0,tt0383287
355,Short,Blood River,2000,9.0,tt0383930
356,Short,Holiday with George,2000,6.0,tt0385755
357,Short,Betty Anderson,2000,11.0,tt0386324
358,Short,186 Days,2000,1.0,tt0387003
359,Short,The Visit,2000,12.0,tt0389512
360,Short,Full Frontal,2000,4.0,tt0390027
361,Short,She's Racing,2000,,tt0389372
362,Short,The Prom Queen,2000,6.0,tt0391406
363,Short,Miracle,2000,6.0,tt0392454
364,Short,Cavalheiros,2000,11.0,tt0393133
365,Short,Lighthouse,2000,10.0,tt0395195
366,Short,12x12,2000,4.0,tt0395422
367,Short,What to Do When I'm Dead,2000,,tt0398387
368,Short,Tilfældets rapsodi,2000,,tt0399766
369,Short,The Spaceman,2000,10.0,tt0399680
370,Short,Amour amenic,2000,6.0,tt0400169
371,Short,Un hiver de plus,2000,,tt0401853
372,Short,À ciel ouvert,2000,,tt0401906
373,Short,Melt,2000,8.0,tt0404230
374,Short,L'embellie,2000,,tt0406601
375,Short,Necessary Action,2000,6.0,tt0407039
376,Short,Mean Anything,2000,7.0,tt0406988
377,Short,Missing Home,2000,6.0,tt0407006
378,Short,Asleep,2000,6.0,tt0407539
379,Short,Slice of Life,2000,,tt0408194
380,Short,My Life in Clothes,2000,8.0,tt0408021
381,Short,The Kiss,2000,,tt0410166
382,Short,Three Man March,2000,10.0,tt0410758
383,Short,Will You Be My Victim?,2000,9.0,tt0410908
384,Short,A Thousand Miles,2000,12.0,tt0411961
385,Short,Keepers,2000,,tt0412889
386,Short,Stompie and the Red Tide,2000,6.0,tt0413314
387,Short,Sotilas,2000,,tt0414536
388,Short,The XTerminator,2000,1.0,tt0416324
389,Short,Big,2000,,tt0416549
390,Short,Del Fuego,2000,10.0,tt0416677
391,Short,A Small Piece of Paradise,2000,,tt0417147
392,Short,Scooter Mum,2000,1.0,tt0420887
393,Short,Gas-Station,2000,5.0,tt0421205
394,Short,Things Left Unsaid,2000,8.0,tt0418237
395,Short,L'Être chair,2000,,tt0419290
396,Short,Mountain Cry,2000,9.0,tt0419980
397,Short,Nada,2000,,tt0425282
398,Short,Trammelant,2000,,tt0423402
399,Short,Flame and the Beggar Boy,2000,,tt0425020
400,Short,Silmät kiinni ilman käsiä,2000,4.0,tt0427864
401,Short,Un ojo al gato y otro al garabato,2000,,tt0430424
402,Short,Perlekæden,2000,,tt0428964
403,Short,La linea,2000,,tt0431228
404,Short,El guardadito,2000,,tt0430160
405,Short,Una 45 para los gastos del mes,2000,2.0,tt0429481
406,Short,Alguien vio a Lola?,2000,,tt0429557
407,Short,Pour une fois,2000,,tt0430483
408,Short,Field of Fish,2000,10.0,tt0430089
409,Short,Bala bume bum!,2000,,tt0430903
410,Short,El silencio del tiempo,2000,,tt0431401
411,Short,Neap Tide,2000,11.0,tt0431937
412,Short,La vanidad de los egipcios,2000,,tt0431455
413,Short,Sr. X,2000,,tt0433071
414,Short,Recovery Room,2000,9.0,tt0434303
415,Short,The Painted Lady,2000,,tt0433613
416,Short,Becoming American,2000,5.0,tt0436102
417,Short,Oxigeno,2000,,tt0438940
418,Short,Azar,2000,,tt0439122
419,Short,Rogelio,2000,,tt0439285
420,Short,Eulogy,2000,10.0,tt0440376
421,Short,El valor de la amistad,2000,,tt0439325
422,Short,Antes meridiano,2000,,tt0439118
423,Short,Best Man,2000,,tt0439461
424,Short,Quiero morir,2000,,tt0441448
425,Short,"Samantha Stewart, Aged 14",2000,,tt0442832
426,Short,Portrait,2000,11.0,tt0442695
427,Short,Real,2000,,tt0443342
428,Short,Winter Solstice,2000,,tt0445068
429,Short,Tolerance,2000,,tt0447708
430,Short,Threesome,2000,4.0,tt0449657
431,Short,The White Room,2000,,tt0447720
432,Short,Pink No. 22,2000,8.0,tt0452044
433,Short,Junior Creative,2000,2.0,tt0450452
434,Short,Simple Things,2000,8.0,tt0450499
435,Short,Wake Up Gone,2000,10.0,tt0452892
436,Short,Ämblikulõng,2000,3.0,tt0452546
437,Short,Jan-Yusuf,2000,7.0,tt0452267
438,Short,Autist,2000,6.0,tt0452746
439,Short,Where to Find God on Sunday,2000,11.0,tt0456185
440,Short,First Touch,2000,6.0,tt0454604
441,Short,The Big Fish,2000,1.0,tt0456856
442,Short,The Big Picture,2000,6.0,tt0459208
443,Short,De kluis,2000,,tt0459434
444,Short,Adam,2000,,tt0460705
445,Short,Walpurgisnacht,2000,,tt0460986
446,Short,The Test,2000,3.0,tt0460582
447,Short,Orama,2000,5.0,tt0466471
448,Short,Anche tu,2000,6.0,tt0466428
449,Short,Tierra de calabazas,2000,,tt0467701
450,Short,Fish,2000,,tt0468737
451,Short,Deich gCoisceim,2000,,tt0471145
452,Short,Exit,2000,8.0,tt0471169
453,Short,In the Know,2000,12.0,tt0471207
454,Short,D7,2000,9.0,tt0472619
455,Short,Christmas Eve,2000,6.0,tt0476170
456,Short,A Once Smiling Woman,2000,,tt0476324
457,Short,Nocturnal,2000,5.0,tt0477186
458,Short,The Silence,2000,,tt0476381
459,Short,It's Not Unusual,2000,8.0,tt0476468
460,Short,Carcasses,2000,,tt0476167
461,Short,The Mask Maker,2000,4.0,tt0477452
462,Short,Mulvey's Hole,2000,8.0,tt0479107
463,Short,Tanto ten,2000,,tt0479762
464,Short,The Ice People,2000,,tt0478809
465,Short,Writing Wrongs,2000,5.0,tt0480607
466,Short,The Pinston Café,2000,4.0,tt0480838
467,Short,Disonancias,2000,,tt0479655
468,Short,Le bel hiver,2000,,tt0480798
469,Short,Küss mich,2000,8.0,tt0482530
470,Short,Kissing Buba,2000,,tt0484049
471,Short,Wilfred,2000,6.0,tt0484163
472,Short,Wonderland,2000,8.0,tt0484377
473,Short,Perfect Pale Blue,2000,1.0,tt0485142
474,Short,Road,2000,7.0,tt0485482
475,Short,F. 621,2000,,tt0485457
476,Short,Desy,2000,2.0,tt0487086
477,Short,Mavis and the Mermaid,2000,,tt0488579
478,Short,Black & White,2000,,tt0489941
479,Short,Last Orders,2000,4.0,tt0491024
480,Short,Daddy's Little Girl,2000,8.0,tt0491757
481,Short,She Wasn't Mine,2000,12.0,tt0492909
482,Short,Desire L.A.,2000,,tt0493234
483,Short,Agha joon,2000,4.0,tt0493103
484,Short,Infidelity,2000,6.0,tt0495130
