,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
82,Evaristo Payesa,Desconocido,['Manda Aliza'],['Actor'],Desconocido,--
83,Mirriam Phiri,Desconocido,"['The Road to Sunrise', 'Virginity Policy', 'Manda Aliza']",['Actress'],Desconocido,--
84,Jorge Black,Desconocido,"['With a Woman Like You', 'Mariana']",['Actor'],Desconocido,--
85,Daphne Nicole,Desconocido,['With a Woman Like You'],['Actor'],Desconocido,--
86,Rony Ramìrez,Desconocido,[],[],Desconocido,--
87,Liam O'Brian,Desconocido,['Nesting Habits'],['Actor'],Desconocido,--
88,Hanna Pak,Desconocido,"['Guardians of the Galaxy Vol. 3', 'Nesting Habits']",['Actor'],Desconocido,--
89,Saurabh Jain,Desconocido,['Savdhaan India: Crime Alert'],['Actor'],Desconocido,--
90,Anita Kanwal,Desconocido,"['Kabhi Haan Kabhi Naa', 'Gangaajal', 'Zindagi Abhi Baaki Hai Mere Ghost', 'Star Bestsellers']",['Actress'],1 nomination,--
91,Ashlesha Sawant,1972,"['Saat Phere... Saloni Ka Safar', 'Kumkum Bhagya', 'Kya Hadsaa Kya Haqeeqat', 'Des Mein Niklla Hoga Chand']",['Actress'],1 win & 2 nominations,--
92,Noah Bryant,Desconocido,"['Graves of Glory', 'Wake Up', 'Like Paper', 'The Celebrity Experience Awards Live']",['Actor'],Desconocido,--
93,Jesse Rademacher,Desconocido,[],[],Desconocido,--
94,August Rae,Desconocido,"['The Radcliffes', 'Once a Hero', 'Melissa', 'Graves of Glory']",['Actor'],Desconocido,--
95,Romaan Ahmed,Desconocido,['Neighbor'],['Actor'],Desconocido,--
96,Leo Dani,Desconocido,['Neighbor'],['Actor'],Desconocido,--
97,Sachin Samuel,Desconocido,['Neighbor'],['Actor'],Desconocido,--
98,Ismael Múrtula,Desconocido,"['La Razón la Encuentran los Culpables', 'Secuestro Final', 'Emilio (I)', 'Emilio (III): Emilio y Carlos']",['Actor'],Desconocido,--
99,Edouard B. Larocque,2011,"['Epidemic', 'Rebel', ""À propos d'Antoine"", 'Tenir le phare']",['Actor'],2 wins & 5 nominations,--
100,Jacques L'Heureux,1953,"[""L'héritage"", 'Les Roux', 'Passe-Partout', 'La fleur aux dents']",['Actor'],Desconocido,--
101,Pierette Campeau,Desconocido,[],[],Desconocido,--
102,Arnaud Allain,Desconocido,"['Non-Fiction', 'By Accident', 'Le brio', 'Petits secrets entre voisins']",['Actor'],Desconocido,--
103,Thomas Curel,Desconocido,"['En scène', 'Fatih le Conquérant']",['Actor'],Desconocido,--
104,Tom Jury,Desconocido,"['Docteur', 'En scène']",['Actor'],Desconocido,--
105,Jeanne Perrin,Desconocido,"['Alexandra Ehle', 'En scène', 'Innocence', 'Bacchanales']",['Actress'],Desconocido,--
106,Simon Valentin,Desconocido,"['Notre-Dame on Fire', 'ZOE', 'En scène']",['Actor'],Desconocido,--
107,Pascal Voglimacci,Desconocido,"['La zingara et les jeunes gens', 'The First Jellyfish', 'Les Liaisons dangereuses', 'En scène']",['Actor'],1 win,--
108,Trinity Wade,Desconocido,"['Asunder the Series', 'Wingmen', ""Lovin' You""]",['Actress'],Desconocido,--
109,Jabbar Adam White,Desconocido,"['Eclipse: The Rise of Ink', 'Thank You for Your Patience', 'Ensemble', 'Artery & Vain']",['Actor'],Desconocido,--
110,Bayne Orion Bradshaw,Desconocido,"['Butter', 'Rebel', 'Malala', 'My Inner Carnist']","['Actor', 'Director', 'Producer']",Desconocido,--
111,Bazwell Kaindi,Desconocido,"['Helping Chalo', 'The Midwife', 'Usiliye', 'Saving Chalo']","['Actor', 'Sound Department']",Desconocido,--
112,Moses Mtonga,Desconocido,"['Helping Chalo', 'Saving Chalo']","['Actor', 'Production Manager']",Desconocido,--
