,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
63,Deepak Raj Giri,1969,"['Chha Ekan Chha', 'Chhakka Panja 2', 'Woda Number 6', 'Tito Satya']","['Actor', 'Writer', 'Director']",1 win,--
64,Sajja Mainali,Desconocido,"['Himalayan Kingdom of Nepal', 'Manish']",['Actress'],Desconocido,--
65,Sanchita Luitel,Desconocido,"['Chhodi Gaye Paap Lagla', 'Himalayan Kingdom of Nepal', 'Hajar Juni Samma', 'Radha']",['Actress'],1 win,--
66,Srijana Basnet,Desconocido,"['Deuta', 'Himalayan Kingdom of Nepal']",['Actress'],Desconocido,--
67,Keshab Bhattarai,Desconocido,"['Chhodi Gaye Paap Lagla', 'Yatra: A Musical Vlog', 'So Simple', 'Himalayan Kingdom of Nepal']","['Actor', 'Producer']",Desconocido,--
68,Nirmal Sharma,Desconocido,"['Woda Number 6', 'Chha Ekan Chha', 'Himalayan Kingdom of Nepal', 'Chhakka Panja 4']","['Actor', 'Producer']",Desconocido,--
69,Takako Fuji,1972,"['The Grudge', 'Ju-on: The Grudge', 'The Grudge 2', 'Princess Mononoke']",['Actress'],Desconocido,--
70,Keisuke Horibe,1966,"['Akumu no erebêtâ', 'Love Exposure', 'Tokyo Gore Police', 'Fukushima 50']","['Actor', 'Writer', 'Director']",Desconocido,--
71,Meimei Kikuchi,1983,"['Ghost vs. Alien 03', 'Ôi! Don-chan', 'Tachiiri kinshi Haittara shinu? Norowareta 5 hen', 'Dorome: Boys']",['Actress'],Desconocido,--
72,Ken'ichi Kobayashi,Desconocido,"['Ghost vs. Alien 03', 'The Killer Bees', 'Rich Man, Poor Woman', 'Mahoro ekimae bangaichi']",['Actor'],Desconocido,--
73,Haruna Kondô,1983,"['Kamen Rider OOO', 'Ghost vs. Alien 03', 'Quiet room ni yôkoso', 'Nichijô - koi no koe']",['Actress'],Desconocido,--
74,Shôichirô Masumoto,1969,"['Maichi monji Gû', 'Ushiro kara mae kara', 'The Death Game on the Yamanote Line', 'High & Low: The Worst Episode.0']","['Actor', 'Writer', 'Director']",Desconocido,--
75,Haruka Minowa,1980,"['Kamen Rider OOO', 'Ghost vs. Alien 03', 'Quiet room ni yôkoso', 'Nichijô - koi no koe']",['Actress'],Desconocido,--
76,Tomomi Miyashita,1982,"['Ultraman Nexus', 'Ultraseven X', 'From Up on Poppy Hill', 'Kamen Rider Kiva']",['Actress'],Desconocido,--
77,Kaoru Mizuki,1959,"['Gensen-Kan Inn', 'Kamen Rider Hibiki', 'Ju-On: The Grudge 2', 'Ghost vs. Alien 03']",['Actress'],1 win,--
78,Yukiko Nakatsubo,1970,"['20th Century Boys 1: Beginning of the End', 'Ghost vs. Alien 03', 'Kasai Chôsakan Kurenai Renjirô 3']",['Actress'],Desconocido,--
79,John Alexander,Desconocido,['Battle Therapy Too'],['Actor'],Desconocido,--
80,Larissa Bateman,Desconocido,['Battle Therapy Too'],['Actress'],Desconocido,--
81,Scott Conway,Desconocido,"['4th and Long', 'Battle Therapy Too']",['Actor'],Desconocido,--
82,Tess Cornwall,Desconocido,['Battle Therapy Too'],['Actress'],Desconocido,--
83,Malisa Hanes,Desconocido,['Battle Therapy Too'],['Actress'],Desconocido,--
84,Melissa Hanes,Desconocido,"['Cops LAC', 'Rescue Special Ops', 'Suing the Devil', 'Pop-Up']","['Actress', 'Make-Up Department']",Desconocido,--
85,Yûki Amami,1967,"['Inugami', 'Sennen no koi - Hikaru Genji monogatari', 'Countdown', 'Ponyo']",['Actress'],5 wins & 2 nominations,--
86,Shuto Tanabe,Desconocido,"['20th Century Boys 1: Beginning of the End', 'Sausu baundo', '20th Century Boys 3: Redemption']",['Actor'],Desconocido,--
87,Rina Matsumoto,Desconocido,"['The Joker Game: Escape', 'Sausu baundo', 'Purimadamu', 'The Future Is in Our Hands']",['Actress'],Desconocido,--
88,Keiko Kitagawa,1986,"['The Fast and the Furious: Tokyo Drift', 'Pretty Guardian Sailor Moon', 'Dear Friends', ""It's a Flickering Life""]",['Actress'],2 nominations,--
89,Mitsuru Hirata,1953,"['Fall Guy', 'Shabu-Shabu Spirit', 'Fukushima 50', 'Kei×Yaku: Dangerous Partners']","['Actor', 'Soundtrack']",5 wins & 1 nomination,--
90,Hideko Yoshida,1944,"['Shaso', 'The Pillow Book', 'Submersion of Japan', 'Out']",['Actress'],1 win & 1 nomination,--
91,Haruko Katô,Desconocido,"[""Kiki's Delivery Service"", 'Love Is a Hunter', 'A Thousand & One Nights', ""Howl's Moving Castle""]",['Actress'],Desconocido,--
92,Miki Murai,Desconocido,"['The Passenger', 'Sausu baundo', 'One Cup on the Dead Track', 'Yakuza 5']",['Actress'],Desconocido,--
93,Sandra Dewi,1983,"['Quickie Express', 'Tarzan ke Kota', 'Triangle the Dark Side', 'I Am Hope']",['Actress'],1 win & 1 nomination,--
94,Reuben Elishama,1978,"['Love for Share', 'Dewi', 'Gossip Girl Indonesia', 'Eggnoid: Love & Time Portal']","['Actor', 'Soundtrack']",2 nominations,--
95,Ria Irawan,Desconocido,"['The Stringless Violin', ""Mecca I'm Coming"", 'Bulan di Atas Kuburan', 'Love for Share']","['Actress', 'Director', 'Writer']",3 wins & 8 nominations,--
