,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
101,Nick Corrao,Desconocido,"[""The Viscount's Heir"", 'The Wrong Prince']","['Actor', 'Camera and Electrical Department']",Desconocido,--
102,Nick Mcloughlin,Desconocido,"['The Bachelorette Satire', 'Project Wednesday', 'Same Diversity', 'Token (USA)']",['Actor'],Desconocido,--
103,Anastasiya Mitrunen,Desconocido,"['The Walk', 'The Kiwi', 'An L.A. Minute', 'Closing Night']",['Actress'],9 wins & 1 nomination,--
104,Monica Hamburg,1974,"['Underworld: Evolution', 'More Funding Needed', 'Night Visions', 'The Love Machine']","['Actress', 'Director', 'Writer']",Desconocido,--
105,Owen Russell,Desconocido,"['Box of Donuts', 'The Horror from Lot 59', 'Oceanside']","['Actor', 'Producer', 'Writer']",Desconocido,--
106,Maya Schubert,Desconocido,"['The Horror from Lot 59', 'Box of Donuts', 'Morbus', 'Tender Scent']",['Actress'],Desconocido,--
107,Charise Greene,Desconocido,"['Love in NY', 'Triple Frontier', 'The Lighthouse', ""I'm Thinking of Ending Things""]","['Actress', 'Writer', 'Additional Crew']",Desconocido,--
108,Debbie Lockhart,Desconocido,"['One Night Stands', 'Gossip Boy', 'Level 3 Stand Up with Debbie Lockhart', 'One in Seven Million']","['Actress', 'Writer', 'Director']",Desconocido,--
109,Jeff Werden,Desconocido,"['The Fires of Soledad', 'Enderal: The Shards of Order', 'Bloody Chronicles: New Cycle of Death', 'Dhar Mann']",['Actor'],Desconocido,--
110,Juliette Edwards,Desconocido,"['Uncharted', 'The Founder', 'Butterfly', 'Father Figures']","['Editorial Department', 'Editor', 'Actress']",1 nomination,--
111,Adam McCabe,Desconocido,"['Detective Detective Detective', 'Pitiful Creatures', 'Cleve Dixon: Terrible Detective']","['Actor', 'Writer', 'Director']",Desconocido,--
112,Brenna Landis,Desconocido,"['The Apology', 'Estate Sale', 'Malarkey', 'Rico & Denise in... River Trouble!']","['Actress', 'Producer', 'Additional Crew']",Desconocido,--
113,Joan Edwards,Desconocido,"['Malarkey', 'Come Back to Me']","['Actress', 'Additional Crew']",Desconocido,--
114,Benjamin Giordano,Desconocido,"['Besöket', 'Sven Uslings Bio', 'Disk', 'Den late zombien']","['Producer', 'Sound Department', 'Director']",1 win & 4 nominations,--
115,Lauren Buxton,Desconocido,"['Interview with a Red Shirt', 'Welcome', 'Orbs', 'Do It']","['Make-Up Department', 'Actor', 'Additional Crew']",Desconocido,--
116,Giu Fortes,Desconocido,['No Filter'],['Actor'],Desconocido,--
117,Liz Martins,Desconocido,"['Confession', 'No Filter']",['Actress'],Desconocido,--
118,Wallace Raj,Desconocido,['No Filter'],"['Actor', 'Writer']",Desconocido,--
119,Tim Cabato,Desconocido,['Kapok Tamod Engkanto'],['Actor'],Desconocido,--
120,Susan Tolentino,Desconocido,"['Magdaleno Orbos: Sa kuko ng mga lawin', 'Kapok Tamod Engkanto']",['Actress'],Desconocido,--
121,Patricia Ysabel,Desconocido,['Kapok Tamod Engkanto'],['Actress'],Desconocido,--
122,Hanif Karim,Desconocido,"['Two Brothers', 'Blind Sided', 'Secular Soulmates', 'Drugs & Chocolates']","['Actor', 'Writer', 'Producer']",5 wins & 2 nominations,--
123,Ryland Blackinton,Desconocido,"['Murder Mystery', 'TMNT', 'ALGORITHM', 'The Callisto Protocol: Helix Station']","['Actor', 'Composer', 'Director']",2 wins,--
124,Sophie Kargman,Desconocido,"['Query', 'Susie Searches', 'Susie Searches', 'Rampart']","['Actress', 'Producer', 'Writer']",1 win & 4 nominations,--
125,Neel Kolhatkar,Desconocido,"['Modern Educayshun', 'Circle', 'Street Smart', 'Future Fear']","['Actor', 'Writer', 'Director']",1 nomination,--
126,Rachel Lauren Baker,Desconocido,"['Sidewalks', 'Behind Closed Doors', 'Nobody Likes Camping', 'Academy']","['Producer', 'Actress', 'Writer']",Desconocido,--
127,Lachlan Edmonds-Munro,Desconocido,"['She Spoke Softly', 'Fire', 'Harmony', 'The Other Side of Terror']",['Actor'],Desconocido,--
128,Hayley Keown,Desconocido,"['Reservation Dogs', 'The Morning Show', 'The Family Plan', 'You']","['Actress', 'Writer', 'Director']",Desconocido,--
129,Brandon Shypkowski,Desconocido,"['29 Palms', '9-1-1: Lone Star', 'Killer Date', 'The Browns']","['Actor', 'Producer', 'Writer']",5 wins & 3 nominations,--
130,Terry L. Fossum,Desconocido,"['Recollection', 'My Perfect Love', 'Parasocial', 'Blindfold']","['Actor', 'Producer']",Desconocido,--
131,Chad Herrmann,Desconocido,"['Friday Night Tykes', 'Gus', 'Eighteen']","['Additional Crew', 'Actor']",Desconocido,--
132,Rushele Provoncha,Desconocido,"['The Cascadia Treasure', 'Transcontinental', 'Gus', 'Eighteen']",['Actor'],Desconocido,--
133,Sarajoy Van Boven,Desconocido,"['Vellai Pookal', 'Blindfold', 'Parasocial', 'Going Home']",['Actress'],Desconocido,--
134,Raquel Ferri,Desconocido,"['Ni oblit ni perdó', ""God's Crooked Lines"", 'Ruta salvatge', 'Isaac']",['Actress'],1 win,--
135,Betsy Túrnez,1974,"['The Invisible Guest', ""Julia's Eyes"", 'El rei borni', 'Pisanka']","['Actress', 'Producer', 'Additional Crew']",1 win & 1 nomination,--
136,Alejo Levis,Desconocido,"['No quiero perderte nunca', 'Todo parecía perfecto', 'Como jugar a polis y cacos', 'Hate songs']","['Director', 'Editor', 'Actor']",Desconocido,--
137,Sara Diego,Desconocido,"['Violeta no coge el ascensor', 'Àlbum', 'The Consul of Sodom', 'Jokes & Cigarettes']",['Actress'],Desconocido,--
138,Charlie Pee,Desconocido,"['Crazy About Her', ""L'última nit del karaoke"", 'The Messiah', 'Drama']","['Actress', 'Writer']",1 nomination,--
139,Clara Altarriba,Desconocido,"['Moebius', 'Andy y las demás', 'Catalunya aixeca el teló', 'Àrtic']",['Actress'],Desconocido,--
140,Llum Barrera,1968,"['Diary of a Nymphomaniac', 'Tu cara me suena', 'Aquí no hay quien viva', 'Xtreme']","['Actress', 'Soundtrack']",1 nomination,--
141,Daniel Lumbreras,Desconocido,"['Pompeia', 'Andy y las demás', 'Quan arribin els marcians']","['Composer', 'Actor']",Desconocido,--
142,Jordan Gallagher,Desconocido,"['Midnight at the Pera Palace', 'The Silent Twins']",['Actor'],Desconocido,--
143,Michael David Thomas,Desconocido,"['Kyle', ""Don't Go Into the Basement"", 'The Following', 'King of the Bush']","['Second Unit Director or Assistant Director', 'Actor', 'Director']",Desconocido,--
144,Anya Kenner,Desconocido,"['Have You Heard About Charlie?', 'The Gift of Years', 'I Met a Girl', 'Darkest Age']","['Actress', 'Composer', 'Producer']",1 nomination,--
145,Julia Parks,Desconocido,['Castratrix'],['Actress'],Desconocido,--
146,Sarah Kameela Impey,Desconocido,"['We Are Lady Parts', 'Vera', 'Halcyon Heights', 'Royal Shakespeare Company: The Tempest']","['Actress', 'Additional Crew']",Desconocido,--
147,Stuart Laws,1984,"['Chubby Bunny', 'The Intuition Shorts', 'Grave New World', 'Mark Smith vs the People']","['Producer', 'Director', 'Editor']",1 nomination,--
148,Nick Long,1981,"['Black Flower', 'Capture', 'Pier Pressure', 'Halcyon Heights']","['Producer', 'Editorial Department', 'Editor']",Desconocido,--
149,Matthew McPherson,Desconocido,"['For You', 'The General', 'Trousers', 'Ocras']","['Actor', 'Director', 'Producer']",1 win,--
150,Rhian Rees,8,"['Rebel Moon - Part One: A Child of Fire', 'Rebel Moon - Part Two: The Scargiver', 'Halloween', 'For All Mankind']",['Actress'],1 win & 1 nomination,--
151,Ben Target,Desconocido,"['Frank', 'The Bird', 'Pier Pressure', 'Lockclown']","['Actor', 'Director', 'Writer']",Desconocido,--
152,Pascale Faure,Desconocido,"['Filles perdues, cheveux gras', 'Beauty and the Beast', 'Asylum: Twisted Horror and Fantasy Tales', 'Plot']","['Art Director', 'Producer', 'Additional Crew']",1 win,--
153,Aurélien Deniel,Desconocido,"['Le corps du délit', 'Winter Boy', 'The Visitor', 'Beauty and the Beast']",['Actor'],Desconocido,--
154,Léolo,Desconocido,"['Le corps du délit', 'Building Permit', 'Love Song for Tough Guys', 'Tom']","['Actor', 'Second Unit Director or Assistant Director', 'Script and Continuity Department']",Desconocido,--
155,Mayte Natalio,Desconocido,"[""Ma Rainey's Black Bottom"", 'Rhythm Is Gonna Get Who?', 'Harlem', 'Had She Never Asked Me']","['Actress', 'Additional Crew', 'Producer']",Desconocido,--
156,Brandon Hicks,Desconocido,"['My Religious Family', 'Delayed', 'Goldzilla', 'Spring Cleaning']","['Director', 'Writer', 'Editor']",1 win,--
157,Angel Johnson,Desconocido,['The Big Date'],['Actress'],Desconocido,--
158,Karisma Shanel,Desconocido,"['The Mandalorian', 'The Book of Boba Fett', 'Brim', 'The Big Date']","['Actress', 'Producer']",Desconocido,--
159,Erin Webbs,Desconocido,"['The Big Date', 'The Marriage Counselor', 'Emelody', 'Talk to the Hands']","['Actress', 'Director', 'Writer']",Desconocido,--
160,Dowlet Molla,Desconocido,['Toy'],['Actor'],Desconocido,--
161,Austin Williams,Desconocido,"['Studio C', 'The Best of Studio C', 'Dinosaur Portals', 'The Haunting of Dolly']","['Actress', 'Writer', 'Producer']",Desconocido,--
