,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
907,6.9,['Anurag Kashyap'],DESCONOCIDO,"A love triangle between a spirited young woman, her outgoing boyfriend and a fiance who's husband material.",2h 36m,Husband Material
908,5.5,['Denis Delic'],DESCONOCIDO,"This is the story of the highly regarded fighter squadron, in which served mainly airmen from Poland, in the history of aerial combat and their heroic defence of England during WW2, Battle of Britain against Nazi attacks. The 303 Squadron shot three times more Luftwaffe planes than any other allied squadrons.",1h 44m,Squadron 303
909,4.8,['Ken Kushner'],DESCONOCIDO,"In 1975, a Bayonne, New Jersey underdog boxer gets a shot to fight the champ.",1h 35m,The Brawler
910,5.6,['Stephan Elliott'],DESCONOCIDO,A teenager comes of age in a small Australian town during the 1970s when a 200-ton blue whale gets washed up on a local beach.,1h 37m,Swinging Safari
911,6.1,['Börkur Sigþórsson'],DESCONOCIDO,Two antagonistic brothers decide to smuggle drugs into their native Iceland using a young Polish girl as their mule.,1h 35m,Vultures
912,3.6,['Luis Bran'],DESCONOCIDO,"A brilliant young psychiatrist builds a machine in the hope of reconnecting with his dead wife but before he can overcome his grief, the machine uncovers something he never expected.",1h 10m,Conscious
913,5.3,['Luis Trapiello'],DESCONOCIDO,A group of mine-workers try to find a way to survive after to be trapped by a collapse in the mining gallery where they were working.,1h 42m,They Buried
914,6.7,['Florian Frerichs'],"['Florian Frerichs', 'Stephan Warnatsch']",It's January 30th 1933 - the day Hitler comes to power - and the German-Jewish family Glickstein comes together for a family dinner.,1h 20m,The Last Supper
915,7.1,DESCONOCIDO,"['Caylee So', 'Dane Arlyn Styler']","In the Life of Music, a story told in three chapters, tells of how one song 'Champa Battambang,' made famous by Sinn Sisamuth (the King of Khmer Music), plays a role in the lives of three different generations.",1h 32m,In the Life of Music
916,4.3,DESCONOCIDO,"['Blake Harris', 'Hans Christian Andersen']",A young reporter and his niece discover a beautiful and enchanting creature they believe to be the real little mermaid.,1h 25m,The Little Mermaid
917,7.8,['Ian G. Westley'],DESCONOCIDO,"Lost and Found follows nine people through one week in their lives. New relationships are formed, current relationships tested and some do not get started.",2h 8m,Lost & Found
918,7.6,['Matthew Roth'],DESCONOCIDO,"With 24 hours until Battle Of The Bands, drummer Brandon finds himself in constant conflict with his fellow bandmates. Unbeknownst to them, he lives with dissociative identity disorder, hosting four other distinct personalities within.",1h 29m,Five Piece
919,7.0,['Ali Abbasi'],DESCONOCIDO,A customs officer who can smell fear develops an unusual attraction to a strange traveler while aiding a police investigation which will call into question her entire existence.,1h 50m,Border
920,5.3,['Mark Landre Gould'],DESCONOCIDO,"Aged, ill, and unable to reconcile the man he was to who he has become, Flynn is hell-bent on exiting this life in a blaze of glory.",1h 39m,Gone Are the Days
921,--,['David Barrera'],DESCONOCIDO,"Levana pursues the dark side of nature, in the supernatural universe that lies beyond the consciousness. The impermanence or change is an essential doctrine, since all things are temporary holding on to them is a futile effort that only leads to one end. All conditioned existence is, without exception, subject to change. Different states of mind and consciousness, the... Read all",--,Transience
922,5.3,['Jean-Claude Brisseau'],DESCONOCIDO,"A saintly woman, Clara, guides three recent acquaintances in a journey of self-discovery with the help of Tonton, an elder man who has reached an enhanced state of connection with the universe.",1h 38m,Tempting Devils
923,4.9,['Jack C. Newell'],DESCONOCIDO,"When 18 year old Hope Gracin suddenly finds herself in remission from end-stage cancer, she must learn to live without an expiration date.",1h 18m,Hope Springs Eternal
924,5.0,['Matt Christopher Hartley'],DESCONOCIDO,"The dark twisted tale of a man who's accused of murdering his girlfriend, told from his shadow's perspective.",1h 8m,Apotheosis
925,5.7,DESCONOCIDO,"['Héctor Escandell', 'Vicente Torres']","November 1970. Several human remains appear in a torrent of Sant Miquel de Balansat, a small rural town in the north of Ibiza. Sergeant Prats, head of the Spanish Civil Guard in the area, and Corporal Ramirez, his new assistant, arrive at the place where the bodies have appeared. Prats is not particularly surprised with the discovery and reveals to newcomer Ramírez th... Read all",1h 19m,Los Crímenes del Día de Todos los Santos
926,7.2,['Tamara Jenkins'],DESCONOCIDO,"An author is undergoing multiple fertility therapies to get pregnant, putting her relationship with her husband on edge.",2h 3m,Private Life
927,--,DESCONOCIDO,DESCONOCIDO,,--,Squeeze: One Dirty Deed
928,4.4,['Ronnie Khalil'],"['Ronnie Khalil', 'Barbara Leibell', 'Jimmy Orie']","Filmed on the beautiful islands of Greece, ""With a Kiss I Die"" is a dark love story about Juliet Capulet (from Shakespearean fame) who is forced to live for all eternity knowing that her true love died in her arms nearly 800 years ago. Broken and numb, she meets a young woman who captures her heart again, and teaches her that love and loss are all a part of life, and ... Read all",1h 13m,With a Kiss I Die
929,5.9,['Angus Benfield'],DESCONOCIDO,A man's life is turned upside down after a series of unfortunate events that reflect the life of the Biblical character 'Job'.,1h 32m,Trust
930,7.3,['David Nawrath'],"['David Nawrath', 'Paul Salisbury']","Walter is a 60-year-old removal man for forced evictions. He recognizes in one of the tenants about to be evicted his estranged son, Jan. In order to help Jan, Walter has to confront not only his crooked boss but also his own past.",1h 39m,Atlas
931,5.3,['Michael A. MacRae'],DESCONOCIDO,A man struggling to find purpose in life is enlightened by a drunk ailing widow.,1h 23m,Fishbowl California
932,7.0,['Sérgio Tréfaut'],"['Fátima Ribeiro', 'Sérgio Tréfaut', 'Manuel da Fonseca']","A beautiful and intense visual story about hunger, misery and exploitation in southern Portugal in the 1950's and about the growing rage and strength building up upon people. The Alentejo planes and the night smuggling scenes are beautifully shot on black and white.",1h 24m,Rage
933,7.3,"[""Zane L'Erario""]",DESCONOCIDO,"An acclaimed writer struggles with her crumbling relationship. When hints of infidelity become more concrete, her lovelorn inner demons take control.",1h 25m,They Are Strangers
934,--,DESCONOCIDO,"['Kris Caltagirone', 'Jeff Kao', 'Penny Werner']","ODDS is a dark comedy reflecting on a woman's struggle with looking for work, meaning, and possibly love in this strange, difficult and modern world - while an odd cast of characters weave through her life. She tries to find her way by seeking the counsel of psychics, therapists, spiritual guides and good luck charms, and her superstitions lead her to finding omens in... Read all",--,Odds
935,--,['Anthony Bari Jr.'],DESCONOCIDO,"Survivors and first responders of Yolanda, one of the strongest typhoons ever recorded, share their stories of recovery and human spirit.",1h 33m,We Call Her Yolanda
