,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
375,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt3006568
376,5.2,['Noah Pritzker'],DESCONOCIDO,"A teenager's family falls apart, so he finds a better one.",1h 35m,Quitters
377,5.2,['Alfonso Albacete'],"['Alfonso Albacete', 'Mireia Llinàs']",Fan girl finds herself torn between the attraction for her film idol and her best male friend.,1h 51m,Just a Little Chemistry
378,5.8,['Henry Jaglom'],"['Henry Jaglom', 'Ron Vignone']","Maggie Chase, now a passionate theater actress, must follow her mind or heart when she falls for a slick television star.",1h 45m,Ovation
379,--,['Maria Picar'],"['Maria Picar', 'Derek Sanchez']",,--,All the Wrong Moves
380,7.1,['Alice Nellis'],DESCONOCIDO,"A young girl takes a hard task. She must try to save her brothers and get rid of the curse placed on them by their mother. It is a story of courage, perseverance, but also of the power of words, truth and true love.",1h 43m,The Seven Ravens
381,8.7,['Brian Dorton'],DESCONOCIDO,"A kinda/sorta sequel to the kinda/sorta cult comedy ""Trashology"".",1h 32m,Preexisting Conditions
382,4.8,['Michael Steves'],"['Gabi Chennisi Duncombe', 'Bubba Fish', 'Michael Steves']","Fern Petersen, a driven high school senior, has her life turned upside down when her overly affectionate boyfriend, Robert Klingher, dies in an embarrassing accident. When Robert returns from the dead as a love-sick ghost, he tries to reunite with Fern - only to have his heart broken. As Robert plots to kill Fern so they can be together forever, Fern will have to figh... Read all",1h 21m,Clinger
383,5.5,['David Koepp'],"['Eric Aronson', 'Kyril Bonfiglioli']","Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.",1h 47m,Mortdecai
384,--,['Bryant Mainord'],"['Paul Rufus Jones', 'Bryant Mainord']",,2h 2m,Paul and Bryant Summon a Demon
385,5.8,['Jon Drever'],"['William Bridges', 'Jon Drever', 'Brett Goldstein']","Robert Kenner is a lonely man looking for love. Today, if he can actually get his boss to give him some time off, he is going on his first date for 6 years. Oh, and he is also the world's only SuperHero.",1h 22m,SuperBob
386,5.2,['Tomas Masin'],DESCONOCIDO,"Comedy inspired by paperback crime novels tells the story of an adventurous search for a mysterious murderer who just after the end of the First World War has begun a rampage in Wilson City, a jerkwater town somewhere in Central Europe. The investigation is being led by an inhomogeneous pair of detectives - a greenhorn and local police cadet named Kvido Eisner (Vojtec... Read all",1h 55m,Wilson City
387,--,DESCONOCIDO,DESCONOCIDO,"Humiliated on national television by her tyrannical ex-boyfriend, sex addict and master of vices Lori Sheedy endures a week of viral infamy and ridicule before confronting her long time ex-lover.",1h 30m,"Lori Sheedy, F*** You"
388,6.8,['Ben Palmer'],DESCONOCIDO,A single woman takes the place of a stranger's blind date and finds the perfect man for her.,1h 28m,Man Up
389,7.3,['Dan Chisu'],DESCONOCIDO,"""Bucharest Non-Stop"" is a Romanian feature film that tells the story of a neighborhood of Bucharest. More specifically, the film is a night of non-stop life of a store located in a neighborhood blocks. Four drive four different stories linked by a key figure, Achim, known as ""the boy from non-stop(24 hours open)"", played by George Ifrim. The film wants to convey the s... Read all",1h 26m,Bucharest Non Stop
390,6.1,DESCONOCIDO,DESCONOCIDO,"In this non-linear amalgamation, submarine crewmen and a woodsman wend their way through a voyage of odd experiences.",2h 10m,The Forbidden Room
391,4.9,['Stefano Lorenzi'],DESCONOCIDO,"Every year , it all starts with bright costumes, flowers flying through the air, and passionate kisses embrace. The game begins with the main square of Florence, becoming a battlefield. Semifinal match of Florence 's historic football tournament played between the white and blue, and a battle in the field becomes more fierce. Everything begins and ends with this match... Read all",1h 33m,Florence Fight Club
392,6.8,['Lisa Hammer'],DESCONOCIDO,Three eccentric heiresses who live with their butler.,1h 31m,The Sisters Plotz
393,7.2,['Yaniv Rokah'],DESCONOCIDO,"Forced onto the streets in her 50s, Marie found ""home"" at a Santa Monica laundromat. Taking shelter there for 20 years, Mimi's passion for pink, and living without looking back, has taken her from homelessness to Hollywood's red carpets.",1h 15m,Queen Mimi
394,7.0,['Paul Feig'],DESCONOCIDO,A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer and prevent diabolical global disaster.,2h,Spy
395,6.8,['Nicholas Hinderliter'],"['Nicholas Hinderliter', 'Jeff Stenzel', 'Brian Wakeley']","When self important Chase graduates college, he is thrown into a world of employers and acquaintances who feel less of his value. Upon realization that the working world does not take him seriously, he takes advantage of his only opportunity to live up to the American dream.",--,Temps
396,4.9,['Graham Fletcher-Cook'],DESCONOCIDO,"In the late 1960s there were no CCTV or crime scene DNA testing, but disposing of a dead body was still bloody murder.",1h 16m,Blood and Carpet
397,6.2,DESCONOCIDO,DESCONOCIDO,"A group of ladies with strong friendships, provide support to each other on issues of career, family and relationships.",1h 30m,A Choice to Yield
398,5.3,['Jarret Tarnol'],DESCONOCIDO,"After her brother's bizarre death, Johana Burwood must return home after four years to face her strange siblings, her out-of-touch father, and her very touchy past.",1h 22m,See You in Valhalla
399,5.4,['Matt Ott'],DESCONOCIDO,A quirky Brooklyn actress tries The Method to approach an Off Broadway role and is drawn into the shady world of egg donation clinics and the characters who populate them.,1h 26m,Ovum
400,5.9,['Chris Hicky'],DESCONOCIDO,"Ex-inmate and wandering musician Jake travels to a small town in Arkansas intent on exacting revenge from his father, but begins to unravel a complicated family history as he befriends the locals.",1h 30m,The Grace of Jake
401,6.1,['Matthew Butler-Hart'],"['Matthew Butler-Hart', 'Tori Butler-Hart']",A young woman's world is turned upside down when an injured hit man takes her hostage at gunpoint in her own home.,1h 32m,Two Down
402,6.2,['Stefan Nieuwoudt'],"['Etienne Fourie', 'Stefan Enslin']","Willemien's life gets turned upside-down the day she brings home the eccentric, bow tie-wearing Vossie. Set in the picturesque town of Stellenbosch, the story unfolds with Vossie experiencing many awkward moments as he finds himself in a home worlds apart from his own.",1h 27m,Strikdas
403,--,['George Tsioutsioulas'],DESCONOCIDO,"How do you know who you are, if you don't know where your from.",1h 30m,Back to Sparta
404,1.6,DESCONOCIDO,"['Ted Beck', 'Jordan Kessler']",Two men are sent on a quest to save their dads in 24 hours.,1h 40m,Midnight Sex Run
405,8.5,['Jarret Gahan'],DESCONOCIDO,A retrospective documentary on the Australian made cult faux sixties exploitation film 'Lesbo-A-Go-Go'.,1h 22m,Gone Lesbo Gone: The Untold Tale of an Unseen Film!
406,8.2,['Adam Elias Buncher'],"['Adam Elias Buncher', 'Noah Trepanier']",A struggling Mexican-American taco chef decides to turn his family's American dream into a reality by luring New York's chicest food critic to Spanish Harlem before a scheming culinary counterfeiter unlocks the secret to his secret sauce.,1h 30m,Hole in the Wall
407,5.6,['James Hamer-Morton'],DESCONOCIDO,"Bid For My Life is a feature length comedy documentary about actor James Hamer-Morton who auctioned days of his life for a month to the highest bidders. The winners could ask him to perform any (legal) work, task or challenge and he would attempt it. This is the story of the social experiment.",1h 34m,Bid for My Life
408,--,['Clint Bramlette'],"['Clint Bramlette', 'Shelby Martha Chase']",A gullible sweepstakes entrant determines something is awry when his big win lands him a meeting with the mayor's evil twin.,1h 35m,The Quest for Suki
409,4.8,['André Moraes'],DESCONOCIDO,"A film director, Walter, meets his old team to make a ""road movie"". With no money, they will have come up with scams in order to make the production possible while at the same time plotting revenge.",1h 17m,Payback
410,6.0,DESCONOCIDO,"['Adam Carolla', 'Kevin Hench']","Following an expensive divorce and the cancellation of his TV show, a stand-up comic is forced to go back on the road to provide for his daughter.",1h 38m,Road Hard
411,2.6,['Straw Weisman'],DESCONOCIDO,"What happens when six lucky strangers, three handsome young guys and three beautiful sexy young women, from all over the world, win a random contest-- an all expenses paid trip to an amazing beach house in glamorous Malibu, California, thanks to a big Internet company--only to discover they have to share it with each other.",1h 30m,American Beach House
412,2.4,['Tania Zee'],DESCONOCIDO,"Six college students from different universities around the country are selected to participate in Econo Air's annual, company program to compete for an internship. Each student has dire reasons why they need to land this position that comes long with pay and free tuition. For these reasons, and others- they cannot see the craziness that's going on all around them in ... Read all",1h 35m,The Internship Games
413,6.7,['Attila Árpa'],"['Péter Huszár', 'Bence Trunkó', 'Attila Árpa']","Hungarian small time crook, 70 year old Tibi Balog gets out of prison after 10 years, but he didn't change a bit. When a Japanese crime syndicate hires him to acquire a Hungarian invention - the world's first floppy disc - Tibi puts his band of retarded thugs back together and the action starts. As expected, Tibi completely screws up the job and becomes the target of ... Read all",1h 31m,Argo 2
414,7.4,['D.J. Yarotsky'],DESCONOCIDO,"Join Brian as he tries to prove that his former best friend and punk rock band-mate's death was anything but an accident. Filled with humor, social commentary, and mystery, its script has been called ""brave"", ""entertaining"", ""hilarious"", and ""destined to become a cult classic"". In Overdose: Death of a Punk Rocker, we are introduced to Brian: former bass player/song wr... Read all",1h 52m,Overdose: Death of a Punk Rocker
415,6.2,['Sam Carter'],DESCONOCIDO,"In this dark comedy, an idealistic young man volunteers at a crisis counseling center staffed by a group of con artists, low lifes, and misfits and discovers that before he can save the world, he may have to save himself.",1h 26m,Good Grief Suicide Hotline
416,--,['Elzbieta Szoka'],DESCONOCIDO,Some apples don't fall far from the tree.,--,That Daughter's Crazy
417,6.3,['Justin Lerner'],"['Justin Lerner', ""Katharine O'Brien""]","Davis meets a cute young woman claiming to be his cousin. After confirming that his dad has a secret brother, he visits her and her two sisters. What keeps their dads apart?",1h 37m,The Automatic Hate
418,7.8,['David W. Brewer'],DESCONOCIDO,"Roshambo follows a three man film crew on their journey through the world of competitive Rock, Paper, Scissors. What seems like a ridiculous game on the surface is slowly revealed to be one of the most intense, heated and unpredictable sports they could have imagined.",--,Roshambo
419,5.8,['Javier Colinas'],DESCONOCIDO,"A family gathers at the Hacienda for their grandmother's birthday, armed with astonishing news and events.",1h 38m,El cumple de la abuela
420,4.3,['Marc Rothemund'],DESCONOCIDO,"Paul is done with love - until he meets Lena. Now he has to convince her family on Mallorca of himself being the right one for their daughter. Lena's mother though would prefer Patrick by her side, a hedgefonds manager and Lena's ex boyfriend. Paul is challenged by Patrick to a duel among men and is glad that his three best friends are there to support him...",1h 30m,Da muss Mann durch
421,6.0,DESCONOCIDO,DESCONOCIDO,"On March 30th, 1981 two undercover FBI agents mysteriously disappeared while surveying organized crime figures in north New Jersey. The FBI denies their involvement in any such case. On May 28th, 2013 a video surfaced on the internet. The footage documents the final hours of the two FBI agents and confirms the FBI'S involvement in the case.",1h 16m,Newark Ave.
422,4.5,['Allan Katz'],DESCONOCIDO,"In 1968, a one-hit wonder US rock band vanished in a plane crash s in the Alps. 50 years later, the aircraft has just been discovered with the Squirrels still inside - frozen alive. Can the band make a comeback after half a century?",1h 22m,Bucky and the Squirrels
423,6.5,['Snævar Sölvason'],DESCONOCIDO,"With big plans for the future, city boy Tommi chases his girlfriend to the Wild West-fjords. This summer is not going to be like he expected.",1h 29m,Albatross
424,8.0,['Joseph Pernice'],DESCONOCIDO,"A washed up twenty something year old, who was once the hometown hero and track star, is convinced by a local sweetheart to run a marathon and get his life back on track.",1h 31m,Chasing Yesterday
425,4.5,['Alex J. Krug'],DESCONOCIDO,"After finding out a crazy psycho killer is in the house, A group of teenagers are forced to fight back with whatever they can find to defend themselves.",1h 27m,We're Not Alone
426,5.2,['Roberto Mitrotti'],"['Linda Howard', 'Roberto Mitrotti']",A compulsive thief of designer clothing in Manhattan is forced into a brutal rehabilitation program with a frumpy heiress and court appointed psychologist.,1h 42m,Stealing Chanel
427,5.6,['Ben Chessell'],DESCONOCIDO,"YouTube sensation Mychonny stars as a young Chinese-Australian who becomes the clumsy protégé of a seasoned con man (Timothy Spall, star of Mr. Turner) and his attractive daughter.",1h 30m,Sucker
428,5.3,['Ali Zamani'],"['Eric Bowers', 'Ali Zamani', 'Shahram Zargari']","Three store owners discover their strip mall has been gambled away to a thug who loves to bowl. After unsuccessful attempts to pay the thug back they enter a bowling tournament to win the money, despite having no previous bowling skills.",1h 40m,Maul Dogs
429,6.3,['Kevin Pollak'],DESCONOCIDO,"Over fifty very famous American, Canadian, British and Australian funny people (filmmakers, writers, actors and comedians) share life and professional journeys and insights, in an effort to shed light on the thesis: Do you have to be miserable to be funny?",1h 34m,Misery Loves Comedy
430,3.4,['Andrew Drazek'],DESCONOCIDO,"After experiencing a series of sexually related mishaps, a high school adds sexual education to its curriculum to rehabilitate the student body, and hires Laci Cox to teach it - the only catch is Laci is a virgin.",1h 32m,Beginner's Guide to Sex
431,8.3,['Thomas Oldham'],"['Thomas Oldham', 'David Olsen', 'Paul Thorp']","A documentary team set out to chart the production of a British pornographic film with a difference. What follows is a fly-on-the-wall view of the highs and lows of adult filmmaking. Personalities clash, protests rage on and accidents happen. Who says porn has to be sexy?",1h 25m,Shooting on the Rim
432,4.5,['Adam Goldberg'],"['Adam Goldberg', 'Sarah Kate Levy']","Jose Stern, an erstwhile indie-rocker relegated to playing children's birthday parties, is on the verge of turning 40 and at a crossroads in his life.",1h 37m,No Way Jose
433,5.6,['Rhys Thomas'],DESCONOCIDO,Pals Danny and Frank spend the summer after high school working as lifeguards while figuring out their future.,1h 48m,Staten Island Summer
434,5.1,['Joe Castro'],"['Joe Castro', 'Steven J. Escobar']","Picking up exactly where the original left off. This 3rd installment tells the tale of Cindy and her little sister Candy fighting the good fight with the help of their friends against evil Dr. Carnage and his abominable sidekick, Max Assassin. Enter the darken, kaleidoscope colored world of the cartoon dimension where anything is possible. Where everyone is subject to... Read all",1h 11m,Terror Toons 3
435,6.3,['Sarah Warren'],DESCONOCIDO,"MLE ('My Little Eye') is based on a true story - Julie Robert, (nope, not Julia Roberts, as she corrects on a daily basis) is a broke actor who just lost her only gig. Stranded in a new country with her trouble-making friend Camila, and struggling to find a sane new agent, Julie finds herself taking on spy work from a strange family. What seems fun at first turns life... Read all",1h 40m,M.L.E.
