,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
248,6.2,['David Cronenberg'],DESCONOCIDO,"A tour into the heart of a Hollywood family chasing celebrity, one another and the relentless ghosts of their pasts.",1h 51m,Maps to the Stars
249,5.5,['Luis Javier Henaine'],"['Luis Javier Henaine', 'Alejandra Olvera Avila']",A young man who is unable to break up with his girlfriend decides to hire an agency that specializes in ending relationships.,1h 20m,Tiempos Felices
250,6.1,['George Clooney'],DESCONOCIDO,An unlikely World War II platoon is tasked to rescue art masterpieces from German thieves and return them to their owners.,1h 58m,The Monuments Men
251,5.9,['Rob Marshall'],DESCONOCIDO,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,2h 5m,Into the Woods
252,4.6,['Nick Cannon'],"['Nick Cannon', 'Nile Evans']",A high school freshman wants to be part of the most popular dance clique in his school but he tends to freeze in the spotlight and has no clue how he's going to pass the initiation.,1h 25m,School Dance
253,7.3,['Joanna Bowzer'],DESCONOCIDO,"A former child star, desperate to reclaim the fame of her youth, employs the ultimate publicity stunt by faking her death in hopes of boosting her popularity, but finds her greed may cost her the people who love her the most.",1h 34m,Delusions of Guinevere
254,5.7,['Dan Beers'],"['Dan Beers', 'Mathew Harawitz']","A high school senior has to re-live losing his virginity over and over again until he gets it right, with the right girl.",1h 33m,Premature
255,6.2,['Amin Matalqa'],"['Matthew Antonelli', 'Fyodor Dostoevsky', 'Amin Matalqa']","A naive man-boy falls in love with a hotheaded blind girl and tries to help win back her heroic lover, Steve.",1h 32m,Strangely in Love
256,6.7,"[""Ryan O'Leary""]",DESCONOCIDO,"A feature length coming of age story about high school love, punk rock, and hemorrhoids.",1h 44m,The Backseat
257,5.7,['Henry Jaglom'],"['Henry Jaglom', 'Ron Vignone']","When hotshot New York T.V. executive Charlie Moon is brought in to assess a struggling local station, children's show host Moxie Landon pitches him a documentary about menopause featuring her mother.",1h 57m,The M Word
258,--,['Akihiro Toda'],"['Akimasa Toda', 'Miyuki Uehara']",,1h 46m,Neko ni mikan
259,8.7,['Bryan W. Simon'],DESCONOCIDO,"In this big screen adaptation of his Tony ® Award winning Broadway show, master storyteller and ventriloquist Jay Johnson redefines, re-imagines, and reintroduces you to the wonderful art of ventriloquism.",1h 54m,Jay Johnson: The Two & Only!
260,5.2,['Jerome Sable'],DESCONOCIDO,A snobby musical theater camp is terrorized by a blood-thirsty killer who hates musical theater.,1h 29m,Stage Fright
261,5.6,['Craig Goodwill'],DESCONOCIDO,"In a world where toys are living beings, a forgotten doll seeks out his former owner during the holiday season in Toronto, while putting himself at odds with the corrupt factory executive who created him.",1h 25m,Patch Town
262,3.6,['Sean Lackey'],DESCONOCIDO,Irish American Tom Murphy hasn't a clue about Ireland or love. He eventually learns about the country of his heritage and that he should listen to his own heart concerning love.,1h 29m,My Not So Irish Bride
263,7.5,['Justin Paul Miller'],DESCONOCIDO,"An allergy-ridden, eavesdropping sound engineer and his boisterous new roommate are thrust into a missing girl case when he discovers clues to her disappearance in his neighborhood recordings.",1h 30m,The Sound and the Shadow
264,4.5,DESCONOCIDO,"['Johan Bromander', 'Bonita Drake', 'Martin Wrench']","A bus load of American students, all jocks, cheerleaders and nerds, are on a culture trip in Europe when they stumble upon a mysterious Hamburger stand in the deep European woods, selling 100% American Burgers. A visit to the Burger Factory behind the stand, renders them trapped in this unknown territory, and they are about to realize that European notion of American ... Read all",1h 18m,American Burger
265,8.7,['Garry Pastore'],DESCONOCIDO,"A heartfelt look at the medical, psychological and holistic reality of the effect of stress on the human body and mind.",1h 20m,Destressed
266,3.8,['Matt Berman'],DESCONOCIDO,"Mitch and Elizabeth (Haylie Duff) make a pact that if in ten years they are both not married, they will marry each other. After ten years Mitch surprises Elizabeth by showing up announced and following through on their pact.",1h 31m,The Wedding Pact
267,6.0,['Nick Cassavetes'],DESCONOCIDO,"After discovering that her boyfriend is married, Carly meets the wife he's been betraying; when yet another affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.",1h 49m,The Other Woman
268,5.3,['Roman Kasparovský'],DESCONOCIDO,Two brothers got separated after their first love for the same girl. Both of them have something which the other one doesn't. Inevitable decisions lead to their most important choice in their lives.,1h 45m,Lousy Bastards
269,6.4,['Andres Clariond'],"['Andres Clariond', ""Marie N'Diaye""]","When Hilda, the new housemaid arrives, Mrs. Lemarchand's obsessions are irreversibly triggered.",1h 29m,Hilda
270,3.9,['Zili Zhang'],"['Steve Woo', 'Yingzi']",,1h 30m,The Break-Up Artist
271,4.7,['Adeeb Rais'],DESCONOCIDO,"A light hearted take on love, relationships and singlehood.",2h 10m,Main Aur Mr. Riight
272,6.8,DESCONOCIDO,DESCONOCIDO,"A film about imagination, in which the protagonist goes on internal journeys around the world, overcoming fears and making new discoveries.",1h 10m,Adventures on the Red Plane
273,4.9,['Felipe Joffily'],"['Bruno Mazzeo', 'Lusa Silvestre']","Three years after the Buzios trip, the four friends meet in Rio de Janeiro. Estrella has just returned from Argentina, Aninha is undecided after consulting a psychic, Tita has returned from London in search of a job as a photographer and Mari is working on producing a music festival. Together again, they will embark on new adventures.",1h 30m,Muita Calma Nessa Hora 2
