,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
82,Arnold Y. Kim,Desconocido,"['Y de repente tú', 'Jack, Jules, Esther & Me', 'Hotel Harbor View', 'De culo y cuesta abajo']","['Reparto', 'Producción']",1 premio,--
83,Brian Tom O' Connor,Desconocido,"['Fake', 'The One You Feed']",['Reparto'],Desconocido,--
84,Ken Shwartz,Desconocido,['Fake'],['Reparto'],Desconocido,--
85,Hollis Witherspoon,Desconocido,['Fake'],['Reparto'],Desconocido,--
86,Michael Dean,1961,"['The Heartbreak Cafe', 'Gene Simmons, ¡vaya joya de familia!', 'The Nose Job', 'Scholastic Mania']","['Reparto', 'Producción', 'Responsable']",Desconocido,--
87,Dennis Haladyn,Desconocido,"['Tell Me Your Secret', 'Enter the Cowboy', 'Westbrick Murders', 'Intelligent Lufthavn']","['Reparto', 'Especialistas', 'Guion']",3 premios y 4 nominaciones,--
88,Jack Hansen,Desconocido,"['Enter the Cowboy', 'Jinetes de la justicia', 'Tour de Force', 'Max Fury']","['Especialistas', 'Reparto', 'Producción']",3 premios y 2 nominaciones,--
89,David Sakurai,julio,"['Animales fantásticos: Los crímenes de Grindelwald', 'Avatar: La leyenda de Aang', 'El hombre en el castillo', 'Iron Fist']","['Reparto', 'Producción', 'Guion']",3 premios y 5 nominaciones,--
90,Winton Foulds,Desconocido,['Psychic Gone Bad'],"['Dirección', 'Reparto', 'Guion']",Desconocido,--
91,Quinn Proctor,Desconocido,['Psychic Gone Bad'],['Reparto'],Desconocido,--
92,Jean-Michel Cousteau,1938,"[""Cousteau's Rediscovery of the World I"", 'El mundo submarino de Jacques Cousteau', ""Cousteau's Rediscovery of the World II"", 'Jacques']","['Producción', 'Dirección', 'Equipos adicionales']",3 premios y 9 nominaciones en total,--
93,Slater Jewell-Kemker,Desconocido,"['Slater meets her HERO Jean-Michel Cousteau', 'Heroes of Orange County', 'The My Hero Report: Youth Edition Ii']",[],Desconocido,--
94,Richard Murphy,Desconocido,"[""Cousteau's Rediscovery of the World I"", 'Slater meets her HERO Jean-Michel Cousteau']",['Equipos adicionales'],Desconocido,--
95,Tiffany Kenney,Desconocido,['Perception'],['Reparto'],Desconocido,--
96,Melissa Lawson,Desconocido,['Perception'],['Reparto'],Desconocido,--
97,Charlotte Fischer,Desconocido,['Beyond Motion'],['Reparto'],Desconocido,--
