,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
1060,Tanesha Tphresh Campbell,Desconocido,"[""Pandora's Box 3 Vengeance"", 'Deliverance']",['Reparto'],Desconocido,--
1061,Suzanne Compton,Desconocido,"['The Walkers film', 'Deliverance']",['Reparto'],Desconocido,--
1062,Carriane Crawford,Desconocido,"['Floonter and Gunter: Vampire Brothers', 'Always Smile', 'Reunion', 'White Girl Apokalypse']","['Reparto', 'Maquillaje', 'Efectos especiales']",Desconocido,--
1063,Timothy Cumberland,1994,['Deliverance'],"['Reparto', 'Composición', 'Música']",Desconocido,--
1064,Aurelia Graves,Desconocido,"['The Walkers Finale', 'The Walkers 2', 'The Walkers film', 'Renewed']","['Reparto', 'Dirección', 'Guion']",Desconocido,--
1065,Raphael Gunn,Desconocido,"['Ebenezer Falls', 'Switched at Love', 'Truly Young Show', 'Just the two of us']","['Reparto', 'Cámara y electricidad']",Desconocido,--
1066,Phillip Hodge III,Desconocido,"['Unexpected', 'Family and Campbell', 'The Assistant 2: Reconnected', 'Out with the Old']",['Reparto'],Desconocido,--
1067,Aitana Bueno,Desconocido,"['Nubes Rojas', 'Alter Ego']",['Reparto'],Desconocido,--
1068,Javier Mondragón,Desconocido,"['Orange Trees', 'Semillas, un poema sobre la vida', 'Cementerio de Ideas', 'El Favor']","['Reparto', 'Producción', 'Edición']",Desconocido,--
1069,Jordi Pla,Desconocido,['Alter Ego'],['Reparto'],Desconocido,--
1070,Hannah Marianetti,Desconocido,"['Sé dócil: Reza y obedece', 'Asian Cinema Club', ""Something You've Never Told Me"", 'Stand Up Santa Cruz']","['Reparto', 'Producción', 'Guion']",Desconocido,--
1071,Sevin Ceviker,Desconocido,"['Streets & Avenues', 'The Best of Me (II)', 'Scooter Boi A Indie Flick', 'The Pulse Within Us']","['Reparto', 'Equipos adicionales']",Desconocido,--
1072,Elio Lorenzo,Desconocido,"['Guillotine', 'Lady of Guadalupe', ""Cariddi's Graveyard: Tales of Mare Nostrum"", 'The Best of Me (II)']",['Reparto'],Desconocido,--
1073,Rafael Majano,Desconocido,"['Una Noche Menos', 'Maldita Suerte']",['Reparto'],Desconocido,--
1074,Diana Zaragoza,Desconocido,"['El silencio de la ciudad blanca', 'Paraíso', 'The Ultimate Weapon', 'El lago']","['Especialistas', 'Reparto', 'Producción']",Desconocido,--
1075,Michael Camp,Desconocido,"['Superdetective en Hollywood: Axel F.', 'Magnum', 'Hawai 5.0', 'Jurassic World: El reino caído']","['Reparto', 'Dirección', 'Guion']",2 premios,--
1076,Christine Umipeg,Desconocido,"['Hawai 5.0', 'Magnum', 'Bank Manager', 'Like a Dragon: Infinite Wealth']",['Reparto'],Desconocido,--
