,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
783,3.7,DESCONOCIDO,DESCONOCIDO,"Some find them annoying, others are just like them. Friends Maria and Lena struggle to find happiness and test the bounds of their relationship during an intense week one New York summer.",1h 19m,Everything Is Wonderful
784,--,['Jules Monteyne'],"['Jules Monteyne', 'Cecile Monteyne']","Two people go home together from one of New Orleans's famed hurricane parties, thinking that the hurricane is going to miss. When it hits, they are trapped together for 36 hours as the storm passes, in a one night stand gone long.",1h 31m,One Night Stand Off
785,5.8,['Jennifer Reeder'],"['Lisa Dash Donato', 'Fawzia Mirza']","Zaynab, a thirtysomething lesbian Pakistani Muslim in Chicago, takes care of her sweet, TV-obsessed mother. As Zaynab falls for Alma, a bold, very bright Mexican woman, she searches for her identity in life, love, and wrestling.",1h 20m,Signature Move
786,--,['Caris Rianne'],DESCONOCIDO,"Exploring the world of ladies football, Like a Girl tackles the prejudices, misunderstandings and excellence of ladies football whilst working alongside two ladies and football clubs in Harlow Town, Essex.",--,Like a Girl
787,6.4,['Shakirah Bourne'],DESCONOCIDO,"This beautiful re-imagining of Shakespeare's magical fairy tale ""A Midsummer Night's Dream"" is set modern day, under a full moon and during a Caribbean Festival.",1h 22m,A Caribbean Dream
788,5.1,['Jan Verheyen'],DESCONOCIDO,"DDT manages to get the FC De Kampioenen soccer team into his hands and decides to replace the team with young talented players. The beloved characters of FC De Kampioenen get a one time chance to win back their right on the team name and the grounds, as they come to an agreement with DDT to play his team for pink slips. As soon as De Kampioenen see the players they wi... Read all",1h 45m,F.C. De Kampioenen 3: Kampioenen Forever
789,7.0,['Minoru Mizoguchi'],"['Kaoru Tada', 'Minoru Mizoguchi']","Naoki and Kotoko enter the same university. Naoki majors in science and technology, while Kotoko majors in literature. A beautiful student, Yuko Matsumoto, appears in front of Naoki. Kotoko is shaken by her new rival in love.",1h 44m,Mischievous Kiss the Movie Part 2: Campus
790,5.4,DESCONOCIDO,DESCONOCIDO,"Kika K is a successful star with millions of fans, but behind the scenes she is in personal and professional crisis: she must deal with an obsessive fan, a boyfriend with no concept, professional appointments scheduled by the businesswoman, and her obsessive-compulsive disorder.",1h 45m,Neurotic Quest for Serenity
791,6.5,['Mia Spengler'],"['Stefanie Schmitz', 'Mia Spengler']","Three women, one family: Monika the mother, Angie the older sister and Kiki the baby of the family. Angie is a reality-TV star who is doggedly clinging onto her fading career. Fresh out of rehab, she suddenly finds herself without any money, friends or a place to live and is condemned to returning to her mother in her hated dump of a hometown. Angie's teenage sister K... Read all",1h 36m,Back for Good
792,5.1,['Serge Bozon'],"['Serge Bozon', 'Axelle Ropert', 'Robert Louis Stevenson']","Mrs. Géquil is a teacher despised by her colleagues and students. On a stormy night, she is struck by lightning and faints. When she wakes up, she feels different. Will she be able to keep the powerful and dangerous Mrs. Hyde contained?",1h 35m,Mrs. Hyde
793,3.5,['Bijan Shirmarz'],"['Alireza Kazemipour', 'Bijan Shirmarz']",The story of a young girl Tina who believes in her aunt's forecasts which is affecting all her life. She is not getting marry waiting for her hidden half Sharmin to come.,1h 29m,Me and Sharmin
794,7.7,['Manish Mitra'],DESCONOCIDO,"If we win we will make fun of you, if not, you'd be killed.",2h 3m,Le Lotta
795,5.4,['Pitipol Ybarra'],DESCONOCIDO,"Esperanza and Marcos are two persons who believe in destiny and true love. Their paths, once separated, become one through the power of coincidences.",1h 33m,"El que busca, encuentra"
796,7.6,DESCONOCIDO,"['Giulia Brazzale', 'Luca Immesi', 'Livio Pacella']","The Captain, a veteran of war, lives in a mysterious forest with a young and odd squire. The sudden arrival of a soldier, who has lost his memory, triggers a series of unmpredictable events.",--,Le guerre horrende
797,--,['Jim Menza'],DESCONOCIDO,"A private investigator is hired to find a missing dame and ends up finding a tangled conspiracy of lies, greed and murder.",1h 33m,The Night I Died
